quote,quote_url,author,author_url
It is easier to build strong children than to repair broken men.,https://www.brainyquote.com/quotes/frederick_douglass_201574?src=t_parenting,Frederick Douglass,https://www.brainyquote.com/authors/frederick-douglass-quotes
"There are only two lasting bequests we can hope to give our children. One of these is roots, the other, wings.",https://www.brainyquote.com/quotes/johann_wolfgang_von_goeth_137527?src=t_parenting,Johann Wolfgang von Goethe,https://www.brainyquote.com/authors/johann-wolfgang-von-goeth-quotes
Don't worry that children never listen to you; worry that they are always watching you.,https://www.brainyquote.com/quotes/robert_fulghum_106965?src=t_parenting,Robert Fulghum,https://www.brainyquote.com/authors/robert-fulghum-quotes
"If you bungle raising your children, I don't think whatever else you do matters very much.",https://www.brainyquote.com/quotes/jackie_kennedy_163360?src=t_parenting,Jackie Kennedy,https://www.brainyquote.com/authors/jackie-kennedy-quotes
"At the end of the day, the most overwhelming key to a child's success is the positive involvement of parents.",https://www.brainyquote.com/quotes/jane_d_hull_224522?src=t_parenting,Jane D. Hull,https://www.brainyquote.com/authors/jane-d-hull-quotes
A child who is allowed to be disrespectful to his parents will not have true respect for anyone.,https://www.brainyquote.com/quotes/billy_graham_150663?src=t_parenting,Billy Graham,https://www.brainyquote.com/authors/billy-graham-quotes
Children are educated by what the grown-up is and not by his talk.,https://www.brainyquote.com/quotes/carl_jung_170421?src=t_parenting,Carl Jung,https://www.brainyquote.com/authors/carl-jung-quotes
Each day of our lives we make deposits in the memory banks of our children.,https://www.brainyquote.com/quotes/charles_r_swindoll_106981?src=t_parenting,Charles R. Swindoll,https://www.brainyquote.com/authors/charles-r-swindoll-quotes
We never know the love of a parent till we become parents ourselves.,https://www.brainyquote.com/quotes/henry_ward_beecher_108835?src=t_parenting,Henry Ward Beecher,https://www.brainyquote.com/authors/henry-ward-beecher-quotes
I cannot think of any need in childhood as strong as the need for a father's protection.,https://www.brainyquote.com/quotes/sigmund_freud_138674?src=t_parenting,Sigmund Freud,https://www.brainyquote.com/authors/sigmund-freud-quotes
"Let parents bequeath to their children not riches, but the spirit of reverence.",https://www.brainyquote.com/quotes/plato_133347?src=t_parenting,Plato,https://www.brainyquote.com/authors/plato-quotes
"Even as kids reach adolescence, they need more than ever for us to watch over them. Adolescence is not about letting go. It's about hanging on during a very bumpy ride.",https://www.brainyquote.com/quotes/ron_taffel_400300?src=t_parenting,Ron Taffel,https://www.brainyquote.com/authors/ron-taffel-quotes
Parents are the bones on which children cut their teeth.,https://www.brainyquote.com/quotes/peter_ustinov_100071?src=t_parenting,Peter Ustinov,https://www.brainyquote.com/authors/peter-ustinov-quotes
"Always kiss your children goodnight, even if they're already asleep.",https://www.brainyquote.com/quotes/h_jackson_brown_jr_106320?src=t_parenting,"H. Jackson Brown, Jr.",https://www.brainyquote.com/authors/h-jackson-brown-jr-quotes
"My mom and dad gave their kids the greatest gift of all - the gift of unconditional love. They cared deeply about who we would be, and much less about what we would do.",https://www.brainyquote.com/quotes/mitt_romney_447814?src=t_parenting,Mitt Romney,https://www.brainyquote.com/authors/mitt-romney-quotes
"Screaming at children over their grades, especially to the point of the child's tears, is child abuse, pure and simple. It's not funny and it's not good parenting. It is a crushing, scarring, disastrous experience for the child. It isn't the least bit funny.",https://www.brainyquote.com/quotes/ben_stein_461296?src=t_parenting,Ben Stein,https://www.brainyquote.com/authors/ben-stein-quotes
"Mothers all want their sons to grow up to be president, but they don't want them to become politicians in the process.",https://www.brainyquote.com/quotes/john_f_kennedy_101703?src=t_parenting,John F. Kennedy,https://www.brainyquote.com/authors/john-f-kennedy-quotes
"Nothing you do for children is ever wasted. They seem not to notice us, hovering, averting our eyes, and they seldom offer thanks, but what we do for them is never wasted.",https://www.brainyquote.com/quotes/garrison_keillor_153448?src=t_parenting,Garrison Keillor,https://www.brainyquote.com/authors/garrison-keillor-quotes
We are apt to forget that children watch examples better than they listen to preaching.,https://www.brainyquote.com/quotes/roy_l_smith_132058?src=t_parenting,Roy L. Smith,https://www.brainyquote.com/authors/roy-l-smith-quotes
Children should have enough freedom to be themselves - once they've learned the rules.,https://www.brainyquote.com/quotes/anna_quindlen_425725?src=t_parenting,Anna Quindlen,https://www.brainyquote.com/authors/anna-quindlen-quotes
"Everybody knows how to raise children, except the people who have them.",https://www.brainyquote.com/quotes/p_j_orourke_124820?src=t_parenting,P. J. O'Rourke,https://www.brainyquote.com/authors/p-j-orourke-quotes
Childhood is a short season.,https://www.brainyquote.com/quotes/helen_hayes_100159?src=t_parenting,Helen Hayes,https://www.brainyquote.com/authors/helen-hayes-quotes
"Every cliche about kids is true; they grow up so quickly, you blink and they're gone, and you have to spend the time with them now. But that's a joy.",https://www.brainyquote.com/quotes/liam_neeson_357519?src=t_parenting,Liam Neeson,https://www.brainyquote.com/authors/liam-neeson-quotes
Never lend your car to anyone to whom you have given birth.,https://www.brainyquote.com/quotes/erma_bombeck_108067?src=t_parenting,Erma Bombeck,https://www.brainyquote.com/authors/erma-bombeck-quotes
Having a baby is a life-changer. It gives you a whole other perspective on why you wake up every day.,https://www.brainyquote.com/quotes/taylor_hanson_442172?src=t_parenting,Taylor Hanson,https://www.brainyquote.com/authors/taylor-hanson-quotes
"I feel very blessed to have two wonderful, healthy children who keep me completely grounded, sane and throw up on my shoes just before I go to an awards show just so I know to keep it real.",https://www.brainyquote.com/quotes/reese_witherspoon_361612?src=t_parenting,Reese Witherspoon,https://www.brainyquote.com/authors/reese-witherspoon-quotes
"Loving a child doesn't mean giving in to all his whims; to love him is to bring out the best in him, to teach him to love what is difficult.",https://www.brainyquote.com/quotes/nadia_boulanger_110707?src=t_parenting,Nadia Boulanger,https://www.brainyquote.com/authors/nadia-boulanger-quotes
Children are not casual guests in our home. They have been loaned to us temporarily for the purpose of loving them and instilling a foundation of values on which their future lives will be built.,https://www.brainyquote.com/quotes/james_dobson_182575?src=t_parenting,James Dobson,https://www.brainyquote.com/authors/james-dobson-quotes
