quote,quote_url,author,author_url
Patience is not simply the ability to wait - it's how we behave while we're waiting.,https://www.brainyquote.com/quotes/joyce_meyer_567645?src=t_patience,Joyce Meyer,https://www.brainyquote.com/authors/joyce-meyer-quotes
Beware the fury of a patient man.,https://www.brainyquote.com/quotes/john_dryden_101689?src=t_patience,John Dryden,https://www.brainyquote.com/authors/john-dryden-quotes
"Patience is bitter, but its fruit is sweet.",https://www.brainyquote.com/quotes/jeanjacques_rousseau_122782?src=t_patience,Jean-Jacques Rousseau,https://www.brainyquote.com/authors/jean-jacques-rousseau-quotes
"It is easier to find men who will volunteer to die, than to find those who are willing to endure pain with patience.",https://www.brainyquote.com/quotes/julius_caesar_135052?src=t_patience,Julius Caesar,https://www.brainyquote.com/authors/julius-caesar-quotes
Patience and perseverance have a magical effect before which difficulties disappear and obstacles vanish.,https://www.brainyquote.com/quotes/john_quincy_adams_387094?src=t_patience,John Quincy Adams,https://www.brainyquote.com/authors/john-quincy-adams-quotes
Great works are performed not by strength but by perseverance.,https://www.brainyquote.com/quotes/samuel_johnson_121919?src=t_patience,Samuel Johnson,https://www.brainyquote.com/authors/samuel-johnson-quotes
"Patience is a virtue, and I'm learning patience. It's a tough lesson.",https://www.brainyquote.com/quotes/elon_musk_567252?src=t_patience,Elon Musk,https://www.brainyquote.com/authors/elon-musk-quotes
"Even a happy life cannot be without a measure of darkness, and the word happy would lose its meaning if it were not balanced by sadness. It is far better take things as they come along with patience and equanimity.",https://www.brainyquote.com/quotes/carl_jung_157285?src=t_patience,Carl Jung,https://www.brainyquote.com/authors/carl-jung-quotes
A man who is a master of patience is master of everything else.,https://www.brainyquote.com/quotes/george_savile_381357?src=t_patience,George Savile,https://www.brainyquote.com/authors/george-savile-quotes
Have patience. All things are difficult before they become easy.,https://www.brainyquote.com/quotes/saadi_155337?src=t_patience,Saadi,https://www.brainyquote.com/authors/saadi-quotes
"Patience, persistence and perspiration make an unbeatable combination for success.",https://www.brainyquote.com/quotes/napoleon_hill_152875?src=t_patience,Napoleon Hill,https://www.brainyquote.com/authors/napoleon-hill-quotes
"Have patience with all things, But, first of all with yourself.",https://www.brainyquote.com/quotes/saint_francis_de_sales_193306?src=t_patience,Saint Francis de Sales,https://www.brainyquote.com/authors/saint-francis-de-sales-quotes
I am patient with stupidity but not with those who are proud of it.,https://www.brainyquote.com/quotes/edith_sitwell_121388?src=t_patience,Edith Sitwell,https://www.brainyquote.com/authors/edith-sitwell-quotes
Never cut a tree down in the wintertime. Never make a negative decision in the low time. Never make your most important decisions when you are in your worst moods. Wait. Be patient. The storm will pass. The spring will come.,https://www.brainyquote.com/quotes/robert_h_schuller_393754?src=t_patience,Robert H. Schuller,https://www.brainyquote.com/authors/robert-h-schuller-quotes
"Come what may, all bad fortune is to be conquered by endurance.",https://www.brainyquote.com/quotes/virgil_145413?src=t_patience,Virgil,https://www.brainyquote.com/authors/virgil-quotes
"With love and patience, nothing is impossible.",https://www.brainyquote.com/quotes/daisaku_ikeda_185216?src=t_patience,Daisaku Ikeda,https://www.brainyquote.com/authors/daisaku-ikeda-quotes
"We could never learn to be brave and patient, if there were only joy in the world.",https://www.brainyquote.com/quotes/helen_keller_385215?src=t_patience,Helen Keller,https://www.brainyquote.com/authors/helen-keller-quotes
Sometimes things aren't clear right away. That's where you need to be patient and persevere and see where things lead.,https://www.brainyquote.com/quotes/mary_pierce_423404?src=t_patience,Mary Pierce,https://www.brainyquote.com/authors/mary-pierce-quotes
Patience is the best remedy for every trouble.,https://www.brainyquote.com/quotes/plautus_184391?src=t_patience,Plautus,https://www.brainyquote.com/authors/plautus-quotes
"I have seen many storms in my life. Most storms have caught me by surprise, so I had to learn very quickly to look further and understand that I am not capable of controlling the weather, to exercise the art of patience and to respect the fury of nature.",https://www.brainyquote.com/quotes/paulo_coelho_620633?src=t_patience,Paulo Coelho,https://www.brainyquote.com/authors/paulo-coelho-quotes
He that can have patience can have what he will.,https://www.brainyquote.com/quotes/benjamin_franklin_151645?src=t_patience,Benjamin Franklin,https://www.brainyquote.com/authors/benjamin-franklin-quotes
Genius is eternal patience.,https://www.brainyquote.com/quotes/michelangelo_183564?src=t_patience,Michelangelo,https://www.brainyquote.com/authors/michelangelo-quotes
"The key to everything is patience. You get the chicken by hatching the egg, not by smashing it.",https://www.brainyquote.com/quotes/arnold_h_glasow_125821?src=t_patience,Arnold H. Glasow,https://www.brainyquote.com/authors/arnold-h-glasow-quotes
"Good character is not formed in a week or a month. It is created little by little, day by day. Protracted and patient effort is needed to develop good character.",https://www.brainyquote.com/quotes/heraclitus_117864?src=t_patience,Heraclitus,https://www.brainyquote.com/authors/heraclitus-quotes
