quote,quote_url,author,author_url
The tree of liberty must be refreshed from time to time with the blood of patriots and tyrants.,https://www.brainyquote.com/quotes/thomas_jefferson_109180?src=t_patriotism,Thomas Jefferson,https://www.brainyquote.com/authors/thomas-jefferson-quotes
"One of the great attractions of patriotism - it fulfills our worst wishes. In the person of our nation we are able, vicariously, to bully and cheat. Bully and cheat, what's more, with a feeling that we are profoundly virtuous.",https://www.brainyquote.com/quotes/aldous_huxley_138293?src=t_patriotism,Aldous Huxley,https://www.brainyquote.com/authors/aldous-huxley-quotes
A soldier will fight long and hard for a bit of colored ribbon.,https://www.brainyquote.com/quotes/napoleon_bonaparte_108401?src=t_patriotism,Napoleon Bonaparte,https://www.brainyquote.com/authors/napoleon-bonaparte-quotes
"If we ever forget that we are One Nation Under God, then we will be a nation gone under.",https://www.brainyquote.com/quotes/ronald_reagan_385754?src=t_patriotism,Ronald Reagan,https://www.brainyquote.com/authors/ronald-reagan-quotes
"The greatness of America lies not in being more enlightened than any other nation, but rather in her ability to repair her faults.",https://www.brainyquote.com/quotes/alexis_de_tocqueville_389355?src=t_patriotism,Alexis de Tocqueville,https://www.brainyquote.com/authors/alexis-de-tocqueville-quotes
Patriotism is the virtue of the vicious.,https://www.brainyquote.com/quotes/oscar_wilde_109713?src=t_patriotism,Oscar Wilde,https://www.brainyquote.com/authors/oscar-wilde-quotes
Patriotism is not a short and frenzied outburst of emotion but the tranquil and steady dedication of a lifetime.,https://www.brainyquote.com/quotes/adlai_stevenson_ii_178965?src=t_patriotism,Adlai Stevenson II,https://www.brainyquote.com/authors/adlai-stevenson-ii-quotes
"We, the People, recognize that we have responsibilities as well as rights; that our destinies are bound together; that a freedom which only asks what's in it for me, a freedom without a commitment to others, a freedom without love or charity or duty or patriotism, is unworthy of our founding ideals, and those who died in their defense.",https://www.brainyquote.com/quotes/barack_obama_453815?src=t_patriotism,Barack Obama,https://www.brainyquote.com/authors/barack-obama-quotes
A patriot must always be ready to defend his country against his government.,https://www.brainyquote.com/quotes/edward_abbey_169278?src=t_patriotism,Edward Abbey,https://www.brainyquote.com/authors/edward-abbey-quotes
"Let every nation know, whether it wishes us well or ill, that we shall pay any price, bear any burden, meet any hardship, support any friend, oppose any foe to assure the survival and the success of liberty.",https://www.brainyquote.com/quotes/john_f_kennedy_114918?src=t_patriotism,John F. Kennedy,https://www.brainyquote.com/authors/john-f-kennedy-quotes
