quote,quote_url,author,author_url
When the power of love overcomes the love of power the world will know peace.,https://www.brainyquote.com/quotes/jimi_hendrix_195397?src=t_peace,Jimi Hendrix,https://www.brainyquote.com/authors/jimi-hendrix-quotes
"I prefer peace. But if trouble must come, let it come in my time, so that my children can live in peace.",https://www.brainyquote.com/quotes/thomas_paine_400961?src=t_peace,Thomas Paine,https://www.brainyquote.com/authors/thomas-paine-quotes
I refuse to accept the view that mankind is so tragically bound to the starless midnight of racism and war that the bright daybreak of peace and brotherhood can never become a reality... I believe that unarmed truth and unconditional love will have the final word.,https://www.brainyquote.com/quotes/martin_luther_king_jr_107470?src=t_peace,"Martin Luther King, Jr.",https://www.brainyquote.com/authors/martin-luther-king-jr-quotes
"Never be in a hurry; do everything quietly and in a calm spirit. Do not lose your inner peace for anything whatsoever, even if your whole world seems upset.",https://www.brainyquote.com/quotes/saint_francis_de_sales_131350?src=t_peace,Saint Francis de Sales,https://www.brainyquote.com/authors/saint-francis-de-sales-quotes
"If you want peace, you don't talk to your friends. You talk to your enemies.",https://www.brainyquote.com/quotes/desmond_tutu_454135?src=t_peace,Desmond Tutu,https://www.brainyquote.com/authors/desmond-tutu-quotes
Peace comes from within. Do not seek it without.,https://www.brainyquote.com/quotes/buddha_141546?src=t_peace,Buddha,https://www.brainyquote.com/authors/buddha-quotes
People sleep peaceably in their beds at night only because rough men stand ready to do violence on their behalf.,https://www.brainyquote.com/quotes/george_orwell_159448?src=t_peace,George Orwell,https://www.brainyquote.com/authors/george-orwell-quotes
A people free to choose will always choose peace.,https://www.brainyquote.com/quotes/ronald_reagan_169549?src=t_peace,Ronald Reagan,https://www.brainyquote.com/authors/ronald-reagan-quotes
We can never obtain peace in the outer world until we make peace with ourselves.,https://www.brainyquote.com/quotes/dalai_lama_385012?src=t_peace,Dalai Lama,https://www.brainyquote.com/authors/dalai-lama-quotes
Peace cannot be kept by force; it can only be achieved by understanding.,https://www.brainyquote.com/quotes/albert_einstein_136891?src=t_peace,Albert Einstein,https://www.brainyquote.com/authors/albert-einstein-quotes
