quote,quote_url,author,author_url
I am fond of pigs. Dogs look up to us. Cats look down on us. Pigs treat us as equals.,https://www.brainyquote.com/quotes/winston_churchill_161474?src=t_pet,Winston Churchill,https://www.brainyquote.com/authors/winston-churchill-quotes
"Outside of a dog, a book is a man's best friend. Inside of a dog it's too dark to read.",https://www.brainyquote.com/quotes/groucho_marx_137218?src=t_pet,Groucho Marx,https://www.brainyquote.com/authors/groucho-marx-quotes
Until one has loved an animal a part of one's soul remains unawakened.,https://www.brainyquote.com/quotes/anatole_france_383929?src=t_pet,Anatole France,https://www.brainyquote.com/authors/anatole-france-quotes
Never wear anything that panics the cat.,https://www.brainyquote.com/quotes/p_j_orourke_104047?src=t_pet,P. J. O'Rourke,https://www.brainyquote.com/authors/p-j-orourke-quotes
"If having a soul means being able to feel love and loyalty and gratitude, then animals are better off than a lot of humans.",https://www.brainyquote.com/quotes/james_herriot_201863?src=t_pet,James Herriot,https://www.brainyquote.com/authors/james-herriot-quotes
He who is cruel to animals becomes hard also in his dealings with men. We can judge the heart of a man by his treatment of animals.,https://www.brainyquote.com/quotes/immanuel_kant_390204?src=t_pet,Immanuel Kant,https://www.brainyquote.com/authors/immanuel-kant-quotes
Animals are such agreeable friends - they ask no questions; they pass no criticisms.,https://www.brainyquote.com/quotes/george_eliot_104038?src=t_pet,George Eliot,https://www.brainyquote.com/authors/george-eliot-quotes
A dog is the only thing on earth that loves you more than you love yourself.,https://www.brainyquote.com/quotes/josh_billings_150080?src=t_pet,Josh Billings,https://www.brainyquote.com/authors/josh-billings-quotes
The trouble with a kitten is that eventually it becomes a cat.,https://www.brainyquote.com/quotes/ogden_nash_137277?src=t_pet,Ogden Nash,https://www.brainyquote.com/authors/ogden-nash-quotes
There are two means of refuge from the miseries of life: music and cats.,https://www.brainyquote.com/quotes/albert_schweitzer_136003?src=t_pet,Albert Schweitzer,https://www.brainyquote.com/authors/albert-schweitzer-quotes
In ancient times cats were worshipped as gods; they have not forgotten this.,https://www.brainyquote.com/quotes/terry_pratchett_384583?src=t_pet,Terry Pratchett,https://www.brainyquote.com/authors/terry-pratchett-quotes
"Money can buy you a fine dog, but only love can make him wag his tail.",https://www.brainyquote.com/quotes/kinky_friedman_145021?src=t_pet,Kinky Friedman,https://www.brainyquote.com/authors/kinky-friedman-quotes
The average dog is a nicer person than the average person.,https://www.brainyquote.com/quotes/andy_rooney_194040?src=t_pet,Andy Rooney,https://www.brainyquote.com/authors/andy-rooney-quotes
"No matter how much cats fight, there always seem to be plenty of kittens.",https://www.brainyquote.com/quotes/abraham_lincoln_107755?src=t_pet,Abraham Lincoln,https://www.brainyquote.com/authors/abraham-lincoln-quotes
"Women and cats will do as they please, and men and dogs should relax and get used to the idea.",https://www.brainyquote.com/quotes/robert_a_heinlein_390442?src=t_pet,Robert A. Heinlein,https://www.brainyquote.com/authors/robert-a-heinlein-quotes
"Dogs are not our whole life, but they make our lives whole.",https://www.brainyquote.com/quotes/roger_caras_104849?src=t_pet,Roger Caras,https://www.brainyquote.com/authors/roger-caras-quotes
I poured spot remover on my dog. Now he's gone.,https://www.brainyquote.com/quotes/steven_wright_138041?src=t_pet,Steven Wright,https://www.brainyquote.com/authors/steven-wright-quotes
Scratch a dog and you'll find a permanent job.,https://www.brainyquote.com/quotes/franklin_p_jones_161639?src=t_pet,Franklin P. Jones,https://www.brainyquote.com/authors/franklin-p-jones-quotes
An animal's eyes have the power to speak a great language.,https://www.brainyquote.com/quotes/martin_buber_110931?src=t_pet,Martin Buber,https://www.brainyquote.com/authors/martin-buber-quotes
"My mother and dad were big animal lovers, too. I just don't know how I would have lived without animals around me. I'm fascinated by them - both domestic pets and the wild community. They just are the most interesting things in the world to me, and it's made such a difference in my lifetime.",https://www.brainyquote.com/quotes/betty_white_487829?src=t_pet,Betty White,https://www.brainyquote.com/authors/betty-white-quotes
Pets are humanizing. They remind us we have an obligation and responsibility to preserve and nurture and care for all life.,https://www.brainyquote.com/quotes/james_cromwell_389786?src=t_pet,James Cromwell,https://www.brainyquote.com/authors/james-cromwell-quotes
What counts is not necessarily the size of the dog in the fight - it's the size of the fight in the dog.,https://www.brainyquote.com/quotes/dwight_d_eisenhower_103502?src=t_pet,Dwight D. Eisenhower,https://www.brainyquote.com/authors/dwight-d-eisenhower-quotes
"You cannot share your life with a dog, as I had done in Bournemouth, or a cat, and not know perfectly well that animals have personalities and minds and feelings.",https://www.brainyquote.com/quotes/jane_goodall_471127?src=t_pet,Jane Goodall,https://www.brainyquote.com/authors/jane-goodall-quotes
"The better I get to know men, the more I find myself loving dogs.",https://www.brainyquote.com/quotes/charles_de_gaulle_161925?src=t_pet,Charles de Gaulle,https://www.brainyquote.com/authors/charles-de-gaulle-quotes
There is no psychiatrist in the world like a puppy licking your face.,https://www.brainyquote.com/quotes/bernard_williams_104835?src=t_pet,Bernard Williams,https://www.brainyquote.com/authors/bernard-williams-quotes
My little dog - a heartbeat at my feet.,https://www.brainyquote.com/quotes/edith_wharton_379875?src=t_pet,Edith Wharton,https://www.brainyquote.com/authors/edith-wharton-quotes
I wonder if other dogs think poodles are members of a weird religious cult.,https://www.brainyquote.com/quotes/rita_rudner_104845?src=t_pet,Rita Rudner,https://www.brainyquote.com/authors/rita-rudner-quotes
Dogs are better than human beings because they know but do not tell.,https://www.brainyquote.com/quotes/emily_dickinson_383713?src=t_pet,Emily Dickinson,https://www.brainyquote.com/authors/emily-dickinson-quotes
Dogs are my favorite people.,https://www.brainyquote.com/quotes/richard_dean_anderson_194338?src=t_pet,Richard Dean Anderson,https://www.brainyquote.com/authors/richard-dean-anderson-quotes
"I believe cats to be spirits come to earth. A cat, I am sure, could walk on a cloud without coming through.",https://www.brainyquote.com/quotes/jules_verne_387226?src=t_pet,Jules Verne,https://www.brainyquote.com/authors/jules-verne-quotes
The smallest feline is a masterpiece.,https://www.brainyquote.com/quotes/leonardo_da_vinci_380286?src=t_pet,Leonardo da Vinci,https://www.brainyquote.com/authors/leonardo-da-vinci-quotes
It is much easier to show compassion to animals. They are never wicked.,https://www.brainyquote.com/quotes/haile_selassie_381376?src=t_pet,Haile Selassie,https://www.brainyquote.com/authors/haile-selassie-quotes
The clever cat eats cheese and breathes down rat holes with baited breath.,https://www.brainyquote.com/quotes/w_c_fields_384363?src=t_pet,W. C. Fields,https://www.brainyquote.com/authors/w-c-fields-quotes
