quote,quote_url,author,author_url
Poetry is when an emotion has found its thought and the thought has found words.,https://www.brainyquote.com/quotes/robert_frost_107263?src=t_poetry,Robert Frost,https://www.brainyquote.com/authors/robert-frost-quotes
Poetry is language at its most distilled and most powerful.,https://www.brainyquote.com/quotes/rita_dove_107279?src=t_poetry,Rita Dove,https://www.brainyquote.com/authors/rita-dove-quotes
The poets have been mysteriously silent on the subject of cheese.,https://www.brainyquote.com/quotes/gilbert_k_chesterton_107280?src=t_poetry,Gilbert K. Chesterton,https://www.brainyquote.com/authors/gilbert-k-chesterton-quotes
"Poetry is not a turning loose of emotion, but an escape from emotion; it is not the expression of personality, but an escape from personality. But, of course, only those who have personality and emotions know what it means to want to escape from these things.",https://www.brainyquote.com/quotes/t_s_eliot_107267?src=t_poetry,T. S. Eliot,https://www.brainyquote.com/authors/t-s-eliot-quotes
"Painting is silent poetry, and poetry is painting that speaks.",https://www.brainyquote.com/quotes/plutarch_117780?src=t_poetry,Plutarch,https://www.brainyquote.com/authors/plutarch-quotes
The poet is a liar who always speaks the truth.,https://www.brainyquote.com/quotes/jean_cocteau_107277?src=t_poetry,Jean Cocteau,https://www.brainyquote.com/authors/jean-cocteau-quotes
"Poetry is an echo, asking a shadow to dance.",https://www.brainyquote.com/quotes/carl_sandburg_107259?src=t_poetry,Carl Sandburg,https://www.brainyquote.com/authors/carl-sandburg-quotes
I was reading the dictionary. I thought it was a poem about everything.,https://www.brainyquote.com/quotes/steven_wright_100330?src=t_poetry,Steven Wright,https://www.brainyquote.com/authors/steven-wright-quotes
Poetry is the spontaneous overflow of powerful feelings: it takes its origin from emotion recollected in tranquility.,https://www.brainyquote.com/quotes/william_wordsworth_390135?src=t_poetry,William Wordsworth,https://www.brainyquote.com/authors/william-wordsworth-quotes
"If your daily life seems poor, do not blame it; blame yourself that you are not poet enough to call forth its riches; for the Creator, there is no poverty.",https://www.brainyquote.com/quotes/rainer_maria_rilke_164504?src=t_poetry,Rainer Maria Rilke,https://www.brainyquote.com/authors/rainer-maria-rilke-quotes
"I would define, in brief, the poetry of words as the rhythmical creation of Beauty.",https://www.brainyquote.com/quotes/edgar_allan_poe_107273?src=t_poetry,Edgar Allan Poe,https://www.brainyquote.com/authors/edgar-allan-poe-quotes
"A poem is never finished, only abandoned.",https://www.brainyquote.com/quotes/paul_valery_103777?src=t_poetry,Paul Valery,https://www.brainyquote.com/authors/paul-valery-quotes
Every single soul is a poem.,https://www.brainyquote.com/quotes/michael_franti_183547?src=t_poetry,Michael Franti,https://www.brainyquote.com/authors/michael-franti-quotes
"Poetry is not only dream and vision; it is the skeleton architecture of our lives. It lays the foundations for a future of change, a bridge across our fears of what has never been before.",https://www.brainyquote.com/quotes/audre_lorde_408960?src=t_poetry,Audre Lorde,https://www.brainyquote.com/authors/audre-lorde-quotes
"If you cannot be a poet, be the poem.",https://www.brainyquote.com/quotes/david_carradine_104278?src=t_poetry,David Carradine,https://www.brainyquote.com/authors/david-carradine-quotes
Poetry is an orphan of silence. The words never quite equal the experience behind them.,https://www.brainyquote.com/quotes/charles_simic_101678?src=t_poetry,Charles Simic,https://www.brainyquote.com/authors/charles-simic-quotes
"Poetry is just the evidence of life. If your life is burning well, poetry is just the ash.",https://www.brainyquote.com/quotes/leonard_cohen_107228?src=t_poetry,Leonard Cohen,https://www.brainyquote.com/authors/leonard-cohen-quotes
What is a poet? An unhappy person who conceals profound anguish in his heart but whose lips are so formed that as sighs and cries pass over them they sound like beautiful music.,https://www.brainyquote.com/quotes/soren_kierkegaard_401477?src=t_poetry,Soren Kierkegaard,https://www.brainyquote.com/authors/soren-kierkegaard-quotes
Poetry is the revelation of a feeling that the poet believes to be interior and personal which the reader recognizes as his own.,https://www.brainyquote.com/quotes/salvatore_quasimodo_161837?src=t_poetry,Salvatore Quasimodo,https://www.brainyquote.com/authors/salvatore-quasimodo-quotes
"A poet is a nightingale, who sits in darkness and sings to cheer its own solitude with sweet sounds.",https://www.brainyquote.com/quotes/percy_bysshe_shelley_386772?src=t_poetry,Percy Bysshe Shelley,https://www.brainyquote.com/authors/percy-bysshe-shelley-quotes
