quote,quote_url,author,author_url
One of the penalties for refusing to participate in politics is that you end up being governed by your inferiors.,https://www.brainyquote.com/quotes/plato_101112?src=t_politics,Plato,https://www.brainyquote.com/authors/plato-quotes
The darkest places in hell are reserved for those who maintain their neutrality in times of moral crisis.,https://www.brainyquote.com/quotes/dante_alighieri_109737?src=t_politics,Dante Alighieri,https://www.brainyquote.com/authors/dante-alighieri-quotes
It is enough that the people know there was an election. The people who cast the votes decide nothing. The people who count the votes decide everything.,https://www.brainyquote.com/quotes/joseph_stalin_109571?src=t_politics,Joseph Stalin,https://www.brainyquote.com/authors/joseph-stalin-quotes
Politics is war without bloodshed while war is politics with bloodshed.,https://www.brainyquote.com/quotes/mao_zedong_161845?src=t_politics,Mao Zedong,https://www.brainyquote.com/authors/mao-zedong-quotes
"If nominated, I will not run; if elected, I will not serve.",https://www.brainyquote.com/quotes/william_tecumseh_sherman_101113?src=t_politics,William Tecumseh Sherman,https://www.brainyquote.com/authors/william-tecumseh-sherman-quotes
"Suppose you were an idiot, and suppose you were a member of Congress; but I repeat myself.",https://www.brainyquote.com/quotes/mark_twain_161288?src=t_politics,Mark Twain,https://www.brainyquote.com/authors/mark-twain-quotes
Perseverance is the hard work you do after you get tired of doing the hard work you already did.,https://www.brainyquote.com/quotes/newt_gingrich_107062?src=t_politics,Newt Gingrich,https://www.brainyquote.com/authors/newt-gingrich-quotes
"The whole aim of practical politics is to keep the populace alarmed (and hence clamorous to be led to safety) by menacing it with an endless series of hobgoblins, all of them imaginary.",https://www.brainyquote.com/quotes/h_l_mencken_101109?src=t_politics,H. L. Mencken,https://www.brainyquote.com/authors/h-l-mencken-quotes
"It is better to be violent, if there is violence in our hearts, than to put on the cloak of nonviolence to cover impotence.",https://www.brainyquote.com/quotes/mahatma_gandhi_100677?src=t_politics,Mahatma Gandhi,https://www.brainyquote.com/authors/mahatma-gandhi-quotes
"The modern conservative is engaged in one of man's oldest exercises in moral philosophy; that is, the search for a superior moral justification for selfishness.",https://www.brainyquote.com/quotes/john_kenneth_galbraith_107301?src=t_politics,John Kenneth Galbraith,https://www.brainyquote.com/authors/john-kenneth-galbraith-quotes
The ballot is stronger than the bullet.,https://www.brainyquote.com/quotes/abraham_lincoln_137183?src=t_politics,Abraham Lincoln,https://www.brainyquote.com/authors/abraham-lincoln-quotes
"If you put the federal government in charge of the Sahara Desert, in 5 years there'd be a shortage of sand.",https://www.brainyquote.com/quotes/milton_friedman_387252?src=t_politics,Milton Friedman,https://www.brainyquote.com/authors/milton-friedman-quotes
