quote,quote_url,author,author_url
"Once you replace negative thoughts with positive ones, you'll start having positive results.",https://www.brainyquote.com/quotes/willie_nelson_184361?src=t_positive,Willie Nelson,https://www.brainyquote.com/authors/willie-nelson-quotes
The most important thing is to try and inspire people so that they can be great in whatever they want to do.,https://www.brainyquote.com/quotes/kobe_bryant_574704?src=t_positive,Kobe Bryant,https://www.brainyquote.com/authors/kobe-bryant-quotes
"Yesterday is not ours to recover, but tomorrow is ours to win or lose.",https://www.brainyquote.com/quotes/lyndon_b_johnson_103549?src=t_positive,Lyndon B. Johnson,https://www.brainyquote.com/authors/lyndon-b-johnson-quotes
"Live life to the fullest, and focus on the positive.",https://www.brainyquote.com/quotes/matt_cameron_333397?src=t_positive,Matt Cameron,https://www.brainyquote.com/authors/matt-cameron-quotes
"It's your outlook on life that counts. If you take yourself lightly and don't take yourself too seriously, pretty soon you can find the humor in our everyday lives. And sometimes it can be a lifesaver.",https://www.brainyquote.com/quotes/betty_white_487800?src=t_positive,Betty White,https://www.brainyquote.com/authors/betty-white-quotes
"Work hard for what you want because it won't come to you without a fight. You have to be strong and courageous and know that you can do anything you put your mind to. If somebody puts you down or criticizes you, just keep on believing in yourself and turn it into something positive.",https://www.brainyquote.com/quotes/leah_labelle_531879?src=t_positive,Leah LaBelle,https://www.brainyquote.com/authors/leah-labelle-quotes
Every day brings new choices.,https://www.brainyquote.com/quotes/martha_beck_282605?src=t_positive,Martha Beck,https://www.brainyquote.com/authors/martha-beck-quotes
"A strong, positive self-image is the best possible preparation for success.",https://www.brainyquote.com/quotes/joyce_brothers_131926?src=t_positive,Joyce Brothers,https://www.brainyquote.com/authors/joyce-brothers-quotes
I think anything is possible if you have the mindset and the will and desire to do it and put the time in.,https://www.brainyquote.com/quotes/roger_clemens_480931?src=t_positive,Roger Clemens,https://www.brainyquote.com/authors/roger-clemens-quotes
It's a wonderful thing to be optimistic. It keeps you healthy and it keeps you resilient.,https://www.brainyquote.com/quotes/daniel_kahneman_567095?src=t_positive,Daniel Kahneman,https://www.brainyquote.com/authors/daniel-kahneman-quotes
"I truly believe that everything that we do and everyone that we meet is put in our path for a purpose. There are no accidents; we're all teachers - if we're willing to pay attention to the lessons we learn, trust our positive instincts and not be afraid to take risks or wait for some miracle to come knocking at our door.",https://www.brainyquote.com/quotes/marla_gibbs_499846?src=t_positive,Marla Gibbs,https://www.brainyquote.com/authors/marla-gibbs-quotes
Delete the negative; accentuate the positive!,https://www.brainyquote.com/quotes/donna_karan_186048?src=t_positive,Donna Karan,https://www.brainyquote.com/authors/donna-karan-quotes
Keep your face to the sunshine and you cannot see a shadow.,https://www.brainyquote.com/quotes/helen_keller_120988?src=t_positive,Helen Keller,https://www.brainyquote.com/authors/helen-keller-quotes
"No matter what you're going through, there's a light at the end of the tunnel and it may seem hard to get to it but you can do it and just keep working towards it and you'll find the positive side of things.",https://www.brainyquote.com/quotes/demi_lovato_433146?src=t_positive,Demi Lovato,https://www.brainyquote.com/authors/demi-lovato-quotes
I often think that the night is more alive and more richly colored than the day.,https://www.brainyquote.com/quotes/vincent_van_gogh_106933?src=t_positive,Vincent Van Gogh,https://www.brainyquote.com/authors/vincent-van-gogh-quotes
Few things in the world are more powerful than a positive push. A smile. A world of optimism and hope. A 'you can do it' when things are tough.,https://www.brainyquote.com/quotes/richard_m_devos_154310?src=t_positive,Richard M. DeVos,https://www.brainyquote.com/authors/richard-m-devos-quotes
"Find a place inside where there's joy, and the joy will burn out the pain.",https://www.brainyquote.com/quotes/joseph_campbell_384345?src=t_positive,Joseph Campbell,https://www.brainyquote.com/authors/joseph-campbell-quotes
"Always Do Your Best. Your best is going to change from moment to moment; it will be different when you are healthy as opposed to sick. Under any circumstance, simply do your best, and you will avoid self-judgment, self-abuse and regret.",https://www.brainyquote.com/quotes/don_miguel_ruiz_182404?src=t_positive,Don Miguel Ruiz,https://www.brainyquote.com/authors/don-miguel-ruiz-quotes
"Trust in dreams, for in them is hidden the gate to eternity.",https://www.brainyquote.com/quotes/khalil_gibran_382885?src=t_positive,Khalil Gibran,https://www.brainyquote.com/authors/khalil-gibran-quotes
You cannot have a positive life and a negative mind.,https://www.brainyquote.com/quotes/joyce_meyer_567542?src=t_positive,Joyce Meyer,https://www.brainyquote.com/authors/joyce-meyer-quotes
"You are the sum total of everything you've ever seen, heard, eaten, smelled, been told, forgot - it's all there. Everything influences each of us, and because of that I try to make sure that my experiences are positive.",https://www.brainyquote.com/quotes/maya_angelou_578841?src=t_positive,Maya Angelou,https://www.brainyquote.com/authors/maya-angelou-quotes
"Did I offer peace today? Did I bring a smile to someone's face? Did I say words of healing? Did I let go of my anger and resentment? Did I forgive? Did I love? These are the real questions. I must trust that the little bit of love that I sow now will bear many fruits, here in this world and the life to come.",https://www.brainyquote.com/quotes/henri_nouwen_588351?src=t_positive,Henri Nouwen,https://www.brainyquote.com/authors/henri-nouwen-quotes
Positive thinking will let you do everything better than negative thinking will.,https://www.brainyquote.com/quotes/zig_ziglar_125675?src=t_positive,Zig Ziglar,https://www.brainyquote.com/authors/zig-ziglar-quotes
"People deal too much with the negative, with what is wrong. Why not try and see positive things, to just touch those things and make them bloom?",https://www.brainyquote.com/quotes/thich_nhat_hanh_154748?src=t_positive,Thich Nhat Hanh,https://www.brainyquote.com/authors/thich-nhat-hanh-quotes
"The joy of life comes from our encounters with new experiences, and hence there is no greater joy than to have an endlessly changing horizon, for each day to have a new and different sun.",https://www.brainyquote.com/quotes/christopher_mccandless_473529?src=t_positive,Christopher McCandless,https://www.brainyquote.com/authors/christopher-mccandless-quotes
"To succeed, you need to find something to hold on to, something to motivate you, something to inspire you.",https://www.brainyquote.com/quotes/tony_dorsett_127514?src=t_positive,Tony Dorsett,https://www.brainyquote.com/authors/tony-dorsett-quotes
"If you have a positive attitude and constantly strive to give your best effort, eventually you will overcome your immediate problems and find you are ready for greater challenges.",https://www.brainyquote.com/quotes/pat_riley_147924?src=t_positive,Pat Riley,https://www.brainyquote.com/authors/pat-riley-quotes
"Work hard, stay positive, and get up early. It's the best part of the day.",https://www.brainyquote.com/quotes/george_allen_sr_384408?src=t_positive,"George Allen, Sr.",https://www.brainyquote.com/authors/george-allen-sr-quotes
In order to carry a positive action we must develop here a positive vision.,https://www.brainyquote.com/quotes/dalai_lama_446740?src=t_positive,Dalai Lama,https://www.brainyquote.com/authors/dalai-lama-quotes
Perpetual optimism is a force multiplier.,https://www.brainyquote.com/quotes/colin_powell_163071?src=t_positive,Colin Powell,https://www.brainyquote.com/authors/colin-powell-quotes
"Your attitude is like a box of crayons that color your world. Constantly color your picture gray, and your picture will always be bleak. Try adding some bright colors to the picture by including humor, and your picture begins to lighten up.",https://www.brainyquote.com/quotes/allen_klein_285040?src=t_positive,Allen Klein,https://www.brainyquote.com/authors/allen-klein-quotes
Positive anything is better than negative nothing.,https://www.brainyquote.com/quotes/elbert_hubbard_122772?src=t_positive,Elbert Hubbard,https://www.brainyquote.com/authors/elbert-hubbard-quotes
"When you wake up every day, you have two choices. You can either be positive or negative; an optimist or a pessimist. I choose to be an optimist. It's all a matter of perspective.",https://www.brainyquote.com/quotes/harvey_mackay_528753?src=t_positive,Harvey Mackay,https://www.brainyquote.com/authors/harvey-mackay-quotes
"You've done it before and you can do it now. See the positive possibilities. Redirect the substantial energy of your frustration and turn it into positive, effective, unstoppable determination.",https://www.brainyquote.com/quotes/ralph_marston_132916?src=t_positive,Ralph Marston,https://www.brainyquote.com/authors/ralph-marston-quotes
"My dear friend, clear your mind of cant.",https://www.brainyquote.com/quotes/samuel_johnson_380613?src=t_positive,Samuel Johnson,https://www.brainyquote.com/authors/samuel-johnson-quotes
My optimism wears heavy boots and is loud.,https://www.brainyquote.com/quotes/henry_rollins_336079?src=t_positive,Henry Rollins,https://www.brainyquote.com/authors/henry-rollins-quotes
The person who can bring the spirit of laughter into a room is indeed blessed.,https://www.brainyquote.com/quotes/bennett_cerf_121699?src=t_positive,Bennett Cerf,https://www.brainyquote.com/authors/bennett-cerf-quotes
"Positive feelings come from being honest about yourself and accepting your personality, and physical characteristics, warts and all; and, from belonging to a family that accepts you without question.",https://www.brainyquote.com/quotes/willard_scott_187451?src=t_positive,Willard Scott,https://www.brainyquote.com/authors/willard-scott-quotes
Believe that life is worth living and your belief will help create the fact.,https://www.brainyquote.com/quotes/william_james_101061?src=t_positive,William James,https://www.brainyquote.com/authors/william-james-quotes
"When you are enthusiastic about what you do, you feel this positive energy. It's very simple.",https://www.brainyquote.com/quotes/paulo_coelho_447382?src=t_positive,Paulo Coelho,https://www.brainyquote.com/authors/paulo-coelho-quotes
"I believe in karma, and I believe if you put out positive vibes to everybody, that's all you're going to get back.",https://www.brainyquote.com/quotes/kesha_430614?src=t_positive,Kesha,https://www.brainyquote.com/authors/kesha-quotes
"If you're not making mistakes, then you're not doing anything. I'm positive that a doer makes mistakes.",https://www.brainyquote.com/quotes/john_wooden_386958?src=t_positive,John Wooden,https://www.brainyquote.com/authors/john-wooden-quotes
Today or any day that phone may ring and bring good news.,https://www.brainyquote.com/quotes/ethel_waters_314523?src=t_positive,Ethel Waters,https://www.brainyquote.com/authors/ethel-waters-quotes
"I always like to look on the optimistic side of life, but I am realistic enough to know that life is a complex matter.",https://www.brainyquote.com/quotes/walt_disney_163575?src=t_positive,Walt Disney,https://www.brainyquote.com/authors/walt-disney-quotes
A good laugh is sunshine in the house.,https://www.brainyquote.com/quotes/william_makepeace_thacker_121690?src=t_positive,William Makepeace Thackeray,https://www.brainyquote.com/authors/william-makepeace-thacker-quotes
Always turn a negative situation into a positive situation.,https://www.brainyquote.com/quotes/michael_jordan_382744?src=t_positive,Michael Jordan,https://www.brainyquote.com/authors/michael-jordan-quotes
"Correction does much, but encouragement does more.",https://www.brainyquote.com/quotes/johann_wolfgang_von_goeth_121291?src=t_positive,Johann Wolfgang von Goethe,https://www.brainyquote.com/authors/johann-wolfgang-von-goeth-quotes
"I surround myself with positive, productive people of good will and decency.",https://www.brainyquote.com/quotes/ted_nugent_451011?src=t_positive,Ted Nugent,https://www.brainyquote.com/authors/ted-nugent-quotes
I do believe we're all connected. I do believe in positive energy. I do believe in the power of prayer. I do believe in putting good out into the world. And I believe in taking care of each other.,https://www.brainyquote.com/quotes/harvey_fierstein_368569?src=t_positive,Harvey Fierstein,https://www.brainyquote.com/authors/harvey-fierstein-quotes
Don't let people disrespect you. My mom says don't open the door to the devil. Surround yourself with positive people.,https://www.brainyquote.com/quotes/cuba_gooding_jr_479962?src=t_positive,"Cuba Gooding, Jr.",https://www.brainyquote.com/authors/cuba-gooding-jr-quotes
Say and do something positive that will help the situation; it doesn't take any brains to complain.,https://www.brainyquote.com/quotes/robert_a_cook_297536?src=t_positive,Robert A. Cook,https://www.brainyquote.com/authors/robert-a-cook-quotes
"I'm taking all the negatives in my life, and turning them into a positive.",https://www.brainyquote.com/quotes/pitbull_430891?src=t_positive,Pitbull,https://www.brainyquote.com/authors/pitbull-quotes
"But I have found that in the simple act of living with hope, and in the daily effort to have a positive impact in the world, the days I do have are made all the more meaningful and precious. And for that I am grateful.",https://www.brainyquote.com/quotes/elizabeth_edwards_413821?src=t_positive,Elizabeth Edwards,https://www.brainyquote.com/authors/elizabeth-edwards-quotes
I'm looking forward to influencing others in a positive way. My message is you can do anything if you just put your mind to it.,https://www.brainyquote.com/quotes/justin_bieber_412637?src=t_positive,Justin Bieber,https://www.brainyquote.com/authors/justin-bieber-quotes
The gift of fantasy has meant more to me than my talent for absorbing positive knowledge.,https://www.brainyquote.com/quotes/albert_einstein_112024?src=t_positive,Albert Einstein,https://www.brainyquote.com/authors/albert-einstein-quotes
"A positive attitude is something everyone can work on, and everyone can learn how to employ it.",https://www.brainyquote.com/quotes/joan_lunden_177601?src=t_positive,Joan Lunden,https://www.brainyquote.com/authors/joan-lunden-quotes
A lot of times people look at the negative side of what they feel they can't do. I always look on the positive side of what I can do.,https://www.brainyquote.com/quotes/chuck_norris_332512?src=t_positive,Chuck Norris,https://www.brainyquote.com/authors/chuck-norris-quotes
Our chief want is someone who will inspire us to be what we know we could be.,https://www.brainyquote.com/quotes/ralph_waldo_emerson_130588?src=t_positive,Ralph Waldo Emerson,https://www.brainyquote.com/authors/ralph-waldo-emerson-quotes
It takes but one positive thought when given a chance to survive and thrive to overpower an entire army of negative thoughts.,https://www.brainyquote.com/quotes/robert_h_schuller_120987?src=t_positive,Robert H. Schuller,https://www.brainyquote.com/authors/robert-h-schuller-quotes
I like to encourage people to realize that any action is a good action if it's proactive and there is positive intent behind it.,https://www.brainyquote.com/quotes/michael_j_fox_463857?src=t_positive,Michael J. Fox,https://www.brainyquote.com/authors/michael-j-fox-quotes
