quote,quote_url,author,author_url
"When someone shows you who they are, believe them the first time.",https://www.brainyquote.com/quotes/maya_angelou_383371?src=t_relationship,Maya Angelou,https://www.brainyquote.com/authors/maya-angelou-quotes
Truth is everybody is going to hurt you: you just gotta find the ones worth suffering for.,https://www.brainyquote.com/quotes/bob_marley_578990?src=t_relationship,Bob Marley,https://www.brainyquote.com/authors/bob-marley-quotes
"If you love someone, set them free. If they come back they're yours; if they don't they never were.",https://www.brainyquote.com/quotes/richard_bach_136009?src=t_relationship,Richard Bach,https://www.brainyquote.com/authors/richard-bach-quotes
How people treat you is their karma; how you react is yours.,https://www.brainyquote.com/quotes/wayne_dyer_382838?src=t_relationship,Wayne Dyer,https://www.brainyquote.com/authors/wayne-dyer-quotes
Never above you. Never below you. Always beside you.,https://www.brainyquote.com/quotes/walter_winchell_378698?src=t_relationship,Walter Winchell,https://www.brainyquote.com/authors/walter-winchell-quotes
Sometimes I wonder if men and women really suit each other. Perhaps they should live next door and just visit now and then.,https://www.brainyquote.com/quotes/katharine_hepburn_100498?src=t_relationship,Katharine Hepburn,https://www.brainyquote.com/authors/katharine-hepburn-quotes
"Between men and women there is no friendship possible. There is passion, enmity, worship, love, but no friendship.",https://www.brainyquote.com/quotes/oscar_wilde_138727?src=t_relationship,Oscar Wilde,https://www.brainyquote.com/authors/oscar-wilde-quotes
"The beginning of love is to let those we love be perfectly themselves, and not to twist them to fit our own image. Otherwise we love only the reflection of ourselves we find in them.",https://www.brainyquote.com/quotes/thomas_merton_121801?src=t_relationship,Thomas Merton,https://www.brainyquote.com/authors/thomas-merton-quotes
"Find joy in everything you choose to do. Every job, relationship, home... it's your responsibility to love it, or change it.",https://www.brainyquote.com/quotes/chuck_palahniuk_446627?src=t_relationship,Chuck Palahniuk,https://www.brainyquote.com/authors/chuck-palahniuk-quotes
Nothing is perfect. Life is messy. Relationships are complex. Outcomes are uncertain. People are irrational.,https://www.brainyquote.com/quotes/hugh_mackay_231481?src=t_relationship,Hugh Mackay,https://www.brainyquote.com/authors/hugh-mackay-quotes
But let there be spaces in your togetherness and let the winds of the heavens dance between you. Love one another but make not a bond of love: let it rather be a moving sea between the shores of your souls.,https://www.brainyquote.com/quotes/khalil_gibran_136982?src=t_relationship,Khalil Gibran,https://www.brainyquote.com/authors/khalil-gibran-quotes
