quote,quote_url,author,author_url
When the missionaries came to Africa they had the Bible and we had the land. They said 'Let us pray.' We closed our eyes. When we opened them we had the Bible and they had the land.,https://www.brainyquote.com/quotes/desmond_tutu_107531?src=t_religion,Desmond Tutu,https://www.brainyquote.com/authors/desmond-tutu-quotes
You cannot believe in God until you believe in yourself.,https://www.brainyquote.com/quotes/swami_vivekananda_213414?src=t_religion,Swami Vivekananda,https://www.brainyquote.com/authors/swami-vivekananda-quotes
"I would rather live my life as if there is a God and die to find out there isn't, than live as if there isn't and to die to find out that there is.",https://www.brainyquote.com/quotes/albert_camus_163017?src=t_religion,Albert Camus,https://www.brainyquote.com/authors/albert-camus-quotes
Religion is what keeps the poor from murdering the rich.,https://www.brainyquote.com/quotes/napoleon_bonaparte_136563?src=t_religion,Napoleon Bonaparte,https://www.brainyquote.com/authors/napoleon-bonaparte-quotes
"Religion is regarded by the common people as true, by the wise as false, and by the rulers as useful.",https://www.brainyquote.com/quotes/lucius_annaeus_seneca_118600?src=t_religion,Lucius Annaeus Seneca,https://www.brainyquote.com/authors/lucius-annaeus-seneca-quotes
"So I say to you, Ask and it will be given to you; search, and you will find; knock, and the door will be opened for you.",https://www.brainyquote.com/quotes/jesus_christ_414646?src=t_religion,Jesus Christ,https://www.brainyquote.com/authors/jesus-christ-quotes
"I do not feel obliged to believe that the same God who has endowed us with sense, reason, and intellect has intended us to forgo their use.",https://www.brainyquote.com/quotes/galileo_galilei_161381?src=t_religion,Galileo Galilei,https://www.brainyquote.com/authors/galileo-galilei-quotes
"The World is my country, all mankind are my brethren, and to do good is my religion.",https://www.brainyquote.com/quotes/thomas_paine_132189?src=t_religion,Thomas Paine,https://www.brainyquote.com/authors/thomas-paine-quotes
Aim at heaven and you will get earth thrown in. Aim at earth and you get neither.,https://www.brainyquote.com/quotes/c_s_lewis_115352?src=t_religion,C. S. Lewis,https://www.brainyquote.com/authors/c-s-lewis-quotes
My religion is very simple. My religion is kindness.,https://www.brainyquote.com/quotes/dalai_lama_108820?src=t_religion,Dalai Lama,https://www.brainyquote.com/authors/dalai-lama-quotes
To be a Christian without prayer is no more possible than to be alive without breathing.,https://www.brainyquote.com/quotes/martin_luther_385793?src=t_religion,Martin Luther,https://www.brainyquote.com/authors/martin-luther-quotes
"I like the religion that teaches liberty, equality and fraternity.",https://www.brainyquote.com/quotes/b_r_ambedkar_392414?src=t_religion,B. R. Ambedkar,https://www.brainyquote.com/authors/b-r-ambedkar-quotes
"When I do good I feel good, when I do bad I feel bad, and that's my religion.",https://www.brainyquote.com/quotes/abraham_lincoln_106095?src=t_religion,Abraham Lincoln,https://www.brainyquote.com/authors/abraham-lincoln-quotes
"Religion is part of the human make-up. It's also part of our cultural and intellectual history. Religion was our first attempt at literature, the texts, our first attempt at cosmology, making sense of where we are in the universe, our first attempt at health care, believing in faith healing, our first attempt at philosophy.",https://www.brainyquote.com/quotes/christopher_hitchens_418046?src=t_religion,Christopher Hitchens,https://www.brainyquote.com/authors/christopher-hitchens-quotes
Heaven is under our feet as well as over our heads.,https://www.brainyquote.com/quotes/henry_david_thoreau_132996?src=t_religion,Henry David Thoreau,https://www.brainyquote.com/authors/henry-david-thoreau-quotes
A thorough knowledge of the Bible is worth more than a college education.,https://www.brainyquote.com/quotes/theodore_roosevelt_147900?src=t_religion,Theodore Roosevelt,https://www.brainyquote.com/authors/theodore-roosevelt-quotes
"Prayer does not change God, but it changes him who prays.",https://www.brainyquote.com/quotes/soren_kierkegaard_107355?src=t_religion,Soren Kierkegaard,https://www.brainyquote.com/authors/soren-kierkegaard-quotes
Prayer is the key of the morning and the bolt of the evening.,https://www.brainyquote.com/quotes/mahatma_gandhi_133480?src=t_religion,Mahatma Gandhi,https://www.brainyquote.com/authors/mahatma-gandhi-quotes
"Just as a candle cannot burn without fire, men cannot live without a spiritual life.",https://www.brainyquote.com/quotes/buddha_121766?src=t_religion,Buddha,https://www.brainyquote.com/authors/buddha-quotes
"Rivers, ponds, lakes and streams - they all have different names, but they all contain water. Just as religions do - they all contain truths.",https://www.brainyquote.com/quotes/muhammad_ali_167361?src=t_religion,Muhammad Ali,https://www.brainyquote.com/authors/muhammad-ali-quotes
No man ever believes that the Bible means what it says: He is always convinced that it says what he means.,https://www.brainyquote.com/quotes/george_bernard_shaw_107544?src=t_religion,George Bernard Shaw,https://www.brainyquote.com/authors/george-bernard-shaw-quotes
Within the covers of the Bible are the answers for all the problems men face.,https://www.brainyquote.com/quotes/ronald_reagan_183774?src=t_religion,Ronald Reagan,https://www.brainyquote.com/authors/ronald-reagan-quotes
The more I study religions the more I am convinced that man never worshipped anything but himself.,https://www.brainyquote.com/quotes/richard_burton_107512?src=t_religion,Richard Burton,https://www.brainyquote.com/authors/richard-burton-quotes
I prayed for twenty years but received no answer until I prayed with my legs.,https://www.brainyquote.com/quotes/frederick_douglass_107360?src=t_religion,Frederick Douglass,https://www.brainyquote.com/authors/frederick-douglass-quotes
"I love you when you bow in your mosque, kneel in your temple, pray in your church. For you and I are sons of one religion, and it is the spirit.",https://www.brainyquote.com/quotes/khalil_gibran_101714?src=t_religion,Khalil Gibran,https://www.brainyquote.com/authors/khalil-gibran-quotes
"We are punished by our sins, not for them.",https://www.brainyquote.com/quotes/elbert_hubbard_107558?src=t_religion,Elbert Hubbard,https://www.brainyquote.com/authors/elbert-hubbard-quotes
Prayer is aligning ourselves with the purposes of God.,https://www.brainyquote.com/quotes/e_stanley_jones_270463?src=t_religion,E. Stanley Jones,https://www.brainyquote.com/authors/e-stanley-jones-quotes
Human beings must be known to be loved; but Divine beings must be loved to be known.,https://www.brainyquote.com/quotes/blaise_pascal_100862?src=t_religion,Blaise Pascal,https://www.brainyquote.com/authors/blaise-pascal-quotes
"The Kingdom of Heaven is not a place, but a state of mind.",https://www.brainyquote.com/quotes/john_burroughs_104194?src=t_religion,John Burroughs,https://www.brainyquote.com/authors/john-burroughs-quotes
Science can purify religion from error and superstition. Religion can purify science from idolatry and false absolutes.,https://www.brainyquote.com/quotes/pope_john_paul_ii_144236?src=t_religion,Pope John Paul II,https://www.brainyquote.com/authors/pope-john-paul-ii-quotes
All religions must be tolerated... for every man must get to heaven in his own way.,https://www.brainyquote.com/quotes/epictetus_118583?src=t_religion,Epictetus,https://www.brainyquote.com/authors/epictetus-quotes
"There are many of us that are willing to do great things for the Lord, but few of us are willing to do little things.",https://www.brainyquote.com/quotes/dwight_l_moody_390829?src=t_religion,Dwight L. Moody,https://www.brainyquote.com/authors/dwight-l-moody-quotes
"Science without religion is lame, religion without science is blind.",https://www.brainyquote.com/quotes/albert_einstein_161289?src=t_religion,Albert Einstein,https://www.brainyquote.com/authors/albert-einstein-quotes
"When we blindly adopt a religion, a political system, a literary dogma, we become automatons. We cease to grow.",https://www.brainyquote.com/quotes/anais_nin_101469?src=t_religion,Anais Nin,https://www.brainyquote.com/authors/anais-nin-quotes
I am thankful I can see much to admire in all religions.,https://www.brainyquote.com/quotes/alfred_russel_wallace_253026?src=t_religion,Alfred Russel Wallace,https://www.brainyquote.com/authors/alfred-russel-wallace-quotes
"It is wonderful how much time good people spend fighting the devil. If they would only expend the same amount of energy loving their fellow men, the devil would die in his own tracks of ennui.",https://www.brainyquote.com/quotes/helen_keller_161862?src=t_religion,Helen Keller,https://www.brainyquote.com/authors/helen-keller-quotes
God is a metaphor for that which transcends all levels of intellectual thought. It's as simple as that.,https://www.brainyquote.com/quotes/joseph_campbell_141385?src=t_religion,Joseph Campbell,https://www.brainyquote.com/authors/joseph-campbell-quotes
Religion is the everlasting dialogue between humanity and God. Art is its soliloquy.,https://www.brainyquote.com/quotes/franz_werfel_101239?src=t_religion,Franz Werfel,https://www.brainyquote.com/authors/franz-werfel-quotes
Teach us to give and not to count the cost.,https://www.brainyquote.com/quotes/saint_ignatius_204688?src=t_religion,Saint Ignatius,https://www.brainyquote.com/authors/saint-ignatius-quotes
The Son of God became man so that we might become God.,https://www.brainyquote.com/quotes/athanasius_440724?src=t_religion,Athanasius,https://www.brainyquote.com/authors/athanasius-quotes
"See, I have set before you this day life and good, death and evil... I have set before you life and death, blessing and curse; therefore choose life.",https://www.brainyquote.com/quotes/moses_414668?src=t_religion,Moses,https://www.brainyquote.com/authors/moses-quotes
"I'm a Muslim, but I think Jesus would have a drink with me. He would be cool. He would talk to me.",https://www.brainyquote.com/quotes/mike_tyson_369859?src=t_religion,Mike Tyson,https://www.brainyquote.com/authors/mike-tyson-quotes
Anti-religious sneers are a hallmark of perpetual adolescents.,https://www.brainyquote.com/quotes/camille_paglia_462157?src=t_religion,Camille Paglia,https://www.brainyquote.com/authors/camille-paglia-quotes
"God made everything out of nothing, but the nothingness shows through.",https://www.brainyquote.com/quotes/paul_valery_107520?src=t_religion,Paul Valery,https://www.brainyquote.com/authors/paul-valery-quotes
I never knew how to worship until I knew how to love.,https://www.brainyquote.com/quotes/henry_ward_beecher_103431?src=t_religion,Henry Ward Beecher,https://www.brainyquote.com/authors/henry-ward-beecher-quotes
Disturbances in society are never more fearful than when those who are stirring up the trouble can use the pretext of religion to mask their true designs.,https://www.brainyquote.com/quotes/denis_diderot_402877?src=t_religion,Denis Diderot,https://www.brainyquote.com/authors/denis-diderot-quotes
"We have to pray with our eyes on God, not on the difficulties.",https://www.brainyquote.com/quotes/oswald_chambers_107363?src=t_religion,Oswald Chambers,https://www.brainyquote.com/authors/oswald-chambers-quotes
Worship is a way of seeing the world in the light of God.,https://www.brainyquote.com/quotes/abraham_joshua_heschel_167951?src=t_religion,Abraham Joshua Heschel,https://www.brainyquote.com/authors/abraham-joshua-heschel-quotes
"Let us not seek to bring religion to others, but let us endeavor to live it ourselves.",https://www.brainyquote.com/quotes/paul_tournier_112267?src=t_religion,Paul Tournier,https://www.brainyquote.com/authors/paul-tournier-quotes
"We can only learn to know ourselves and do what we can - namely, surrender our will and fulfill God's will in us.",https://www.brainyquote.com/quotes/saint_teresa_of_avila_153910?src=t_religion,Saint Teresa of Avila,https://www.brainyquote.com/authors/saint-teresa-of-avila-quotes
Let your religion be less of a theory and more of a love affair.,https://www.brainyquote.com/quotes/gilbert_k_chesterton_107505?src=t_religion,Gilbert K. Chesterton,https://www.brainyquote.com/authors/gilbert-k-chesterton-quotes
