quote,quote_url,author,author_url
"Respect for ourselves guides our morals, respect for others guides our manners.",https://www.brainyquote.com/quotes/laurence_sterne_165818?src=t_respect,Laurence Sterne,https://www.brainyquote.com/authors/laurence-sterne-quotes
"We don't need to share the same opinions as others, but we need to be respectful.",https://www.brainyquote.com/quotes/taylor_swift_579514?src=t_respect,Taylor Swift,https://www.brainyquote.com/authors/taylor-swift-quotes
"To the living we owe respect, but to the dead we owe only the truth.",https://www.brainyquote.com/quotes/voltaire_397106?src=t_respect,Voltaire,https://www.brainyquote.com/authors/voltaire-quotes
One of the most sincere forms of respect is actually listening to what another has to say.,https://www.brainyquote.com/quotes/bryant_h_mcgill_168254?src=t_respect,Bryant H. McGill,https://www.brainyquote.com/authors/bryant-h-mcgill-quotes
"Respect your efforts, respect yourself. Self-respect leads to self-discipline. When you have both firmly under your belt, that's real power.",https://www.brainyquote.com/quotes/clint_eastwood_392797?src=t_respect,Clint Eastwood,https://www.brainyquote.com/authors/clint-eastwood-quotes
Self-respect is the fruit of discipline; the sense of dignity grows with the ability to say no to oneself.,https://www.brainyquote.com/quotes/abraham_joshua_heschel_114461?src=t_respect,Abraham Joshua Heschel,https://www.brainyquote.com/authors/abraham-joshua-heschel-quotes
I'm not concerned with your liking or disliking me... All I ask is that you respect me as a human being.,https://www.brainyquote.com/quotes/jackie_robinson_140153?src=t_respect,Jackie Robinson,https://www.brainyquote.com/authors/jackie-robinson-quotes
"When you are content to be simply yourself and don't compare or compete, everybody will respect you.",https://www.brainyquote.com/quotes/lao_tzu_100932?src=t_respect,Lao Tzu,https://www.brainyquote.com/authors/lao-tzu-quotes
"If we are not free, no one will respect us.",https://www.brainyquote.com/quotes/a_p_j_abdul_kalam_179898?src=t_respect,A. P. J. Abdul Kalam,https://www.brainyquote.com/authors/a-p-j-abdul-kalam-quotes
"To free us from the expectations of others, to give us back to ourselves - there lies the great, singular power of self-respect.",https://www.brainyquote.com/quotes/joan_didion_389089?src=t_respect,Joan Didion,https://www.brainyquote.com/authors/joan-didion-quotes
"Everyone should be respected as an individual, but no one idolized.",https://www.brainyquote.com/quotes/albert_einstein_163169?src=t_respect,Albert Einstein,https://www.brainyquote.com/authors/albert-einstein-quotes
I never make the mistake of arguing with people for whose opinions I have no respect.,https://www.brainyquote.com/quotes/edward_gibbon_130926?src=t_respect,Edward Gibbon,https://www.brainyquote.com/authors/edward-gibbon-quotes
Nothing is more despicable than respect based on fear.,https://www.brainyquote.com/quotes/albert_camus_382275?src=t_respect,Albert Camus,https://www.brainyquote.com/authors/albert-camus-quotes
The final test of a gentleman is his respect for those who can be of no possible service to him.,https://www.brainyquote.com/quotes/william_lyon_phelps_159535?src=t_respect,William Lyon Phelps,https://www.brainyquote.com/authors/william-lyon-phelps-quotes
"I firmly believe that respect is a lot more important, and a lot greater, than popularity.",https://www.brainyquote.com/quotes/julius_erving_289208?src=t_respect,Julius Erving,https://www.brainyquote.com/authors/julius-erving-quotes
"Show respect to all people, but grovel to none.",https://www.brainyquote.com/quotes/tecumseh_190015?src=t_respect,Tecumseh,https://www.brainyquote.com/authors/tecumseh-quotes
"Everyone in society should be a role model, not only for their own self-respect, but for respect from others.",https://www.brainyquote.com/quotes/barry_bonds_267215?src=t_respect,Barry Bonds,https://www.brainyquote.com/authors/barry-bonds-quotes
There is no respect for others without humility in one's self.,https://www.brainyquote.com/quotes/henri_frederic_amiel_148230?src=t_respect,Henri Frederic Amiel,https://www.brainyquote.com/authors/henri-frederic-amiel-quotes
