quote,quote_url,author,author_url
I love you the more in that I believe you had liked me for my own sake and for nothing else.,https://www.brainyquote.com/quotes/john_keats_386110?src=t_romantic,John Keats,https://www.brainyquote.com/authors/john-keats-quotes
"Love recognizes no barriers. It jumps hurdles, leaps fences, penetrates walls to arrive at its destination full of hope.",https://www.brainyquote.com/quotes/maya_angelou_389446?src=t_romantic,Maya Angelou,https://www.brainyquote.com/authors/maya-angelou-quotes
"A beautiful woman delights the eye; a wise woman, the understanding; a pure one, the soul.",https://www.brainyquote.com/quotes/minna_antrim_385957?src=t_romantic,Minna Antrim,https://www.brainyquote.com/authors/minna-antrim-quotes
True love stories never have endings.,https://www.brainyquote.com/quotes/richard_bach_414027?src=t_romantic,Richard Bach,https://www.brainyquote.com/authors/richard-bach-quotes
"If you are not too long, I will wait here for you all my life.",https://www.brainyquote.com/quotes/oscar_wilde_138925?src=t_romantic,Oscar Wilde,https://www.brainyquote.com/authors/oscar-wilde-quotes
All that we see or seem is but a dream within a dream.,https://www.brainyquote.com/quotes/edgar_allan_poe_109738?src=t_romantic,Edgar Allan Poe,https://www.brainyquote.com/authors/edgar-allan-poe-quotes
And ever has it been known that love knows not its own depth until the hour of separation.,https://www.brainyquote.com/quotes/khalil_gibran_136981?src=t_romantic,Khalil Gibran,https://www.brainyquote.com/authors/khalil-gibran-quotes
There is no charm equal to tenderness of heart.,https://www.brainyquote.com/quotes/jane_austen_395520?src=t_romantic,Jane Austen,https://www.brainyquote.com/authors/jane-austen-quotes
"We are each of us angels with only one wing, and we can only fly by embracing one another.",https://www.brainyquote.com/quotes/luciano_de_crescenzo_389616?src=t_romantic,Luciano De Crescenzo,https://www.brainyquote.com/authors/luciano-de-crescenzo-quotes
"O, thou art fairer than the evening air clad in the beauty of a thousand stars.",https://www.brainyquote.com/quotes/christopher_marlowe_166008?src=t_romantic,Christopher Marlowe,https://www.brainyquote.com/authors/christopher-marlowe-quotes
"The romantic love we feel toward the opposite sex is probably one extra help from God to bring you together, but that's it. All the rest of it, the true love, is the test.",https://www.brainyquote.com/quotes/joan_chen_203023?src=t_romantic,Joan Chen,https://www.brainyquote.com/authors/joan-chen-quotes
Morning without you is a dwindled dawn.,https://www.brainyquote.com/quotes/emily_dickinson_379911?src=t_romantic,Emily Dickinson,https://www.brainyquote.com/authors/emily-dickinson-quotes
"Love planted a rose, and the world turned sweet.",https://www.brainyquote.com/quotes/katharine_lee_bates_184286?src=t_romantic,Katharine Lee Bates,https://www.brainyquote.com/authors/katharine-lee-bates-quotes
"Breathless, we flung us on a windy hill, Laughed in the sun, and kissed the lovely grass.",https://www.brainyquote.com/quotes/rupert_brooke_125307?src=t_romantic,Rupert Brooke,https://www.brainyquote.com/authors/rupert-brooke-quotes
What is love? It is the morning and the evening star.,https://www.brainyquote.com/quotes/sinclair_lewis_153251?src=t_romantic,Sinclair Lewis,https://www.brainyquote.com/authors/sinclair-lewis-quotes
"Vulnerability is the essence of romance. It's the art of being uncalculated, the willingness to look foolish, the courage to say, 'This is me, and I'm interested in you enough to show you my flaws with the hope that you may embrace me for all that I am but, more important, all that I am not.'",https://www.brainyquote.com/quotes/ashton_kutcher_569078?src=t_romantic,Ashton Kutcher,https://www.brainyquote.com/authors/ashton-kutcher-quotes
A man's kiss is his signature.,https://www.brainyquote.com/quotes/mae_west_106328?src=t_romantic,Mae West,https://www.brainyquote.com/authors/mae-west-quotes
"Beauty, sweet love, is like the morning dew, Whose short refresh upon tender green, Cheers for a time, but till the sun doth show And straight is gone, as it had never been.",https://www.brainyquote.com/quotes/samuel_daniel_188883?src=t_romantic,Samuel Daniel,https://www.brainyquote.com/authors/samuel-daniel-quotes
When I give I give myself.,https://www.brainyquote.com/quotes/walt_whitman_138758?src=t_romantic,Walt Whitman,https://www.brainyquote.com/authors/walt-whitman-quotes
