quote,quote_url,author,author_url
"Some days are just bad days, that's all. You have to experience sadness to know happiness, and I remind myself that not every day is going to be a good day, that's just the way it is!",https://www.brainyquote.com/quotes/dita_von_teese_513157?src=t_sad,Dita Von Teese,https://www.brainyquote.com/authors/dita-von-teese-quotes
"For all sad words of tongue and pen, The saddest are these, 'It might have been'.",https://www.brainyquote.com/quotes/john_greenleaf_whittier_385048?src=t_sad,John Greenleaf Whittier,https://www.brainyquote.com/authors/john-greenleaf-whittier-quotes
"There is a sacredness in tears. They are not the mark of weakness, but of power. They speak more eloquently than ten thousand tongues. They are the messengers of overwhelming grief, of deep contrition, and of unspeakable love.",https://www.brainyquote.com/quotes/washington_irving_149294?src=t_sad,Washington Irving,https://www.brainyquote.com/authors/washington-irving-quotes
"Participate joyfully in the sorrows of the world. We cannot cure the world of sorrows, but we can choose to live in joy.",https://www.brainyquote.com/quotes/joseph_campbell_390717?src=t_sad,Joseph Campbell,https://www.brainyquote.com/authors/joseph-campbell-quotes
Our sweetest songs are those that tell of saddest thought.,https://www.brainyquote.com/quotes/percy_bysshe_shelley_138849?src=t_sad,Percy Bysshe Shelley,https://www.brainyquote.com/authors/percy-bysshe-shelley-quotes
Every man has his secret sorrows which the world knows not; and often times we call a man cold when he is only sad.,https://www.brainyquote.com/quotes/henry_wadsworth_longfello_109285?src=t_sad,Henry Wadsworth Longfellow,https://www.brainyquote.com/authors/henry-wadsworth-longfello-quotes
Nothing is more sad than the death of an illusion.,https://www.brainyquote.com/quotes/arthur_koestler_152078?src=t_sad,Arthur Koestler,https://www.brainyquote.com/authors/arthur-koestler-quotes
Tears come from the heart and not from the brain.,https://www.brainyquote.com/quotes/leonardo_da_vinci_542493?src=t_sad,Leonardo da Vinci,https://www.brainyquote.com/authors/leonardo-da-vinci-quotes
"Worry never robs tomorrow of its sorrow, it only saps today of its joy.",https://www.brainyquote.com/quotes/leo_buscaglia_108583?src=t_sad,Leo Buscaglia,https://www.brainyquote.com/authors/leo-buscaglia-quotes
"Make the most of your regrets; never smother your sorrow, but tend and cherish it till it comes to have a separate and integral interest. To regret deeply is to live afresh.",https://www.brainyquote.com/quotes/henry_david_thoreau_133592?src=t_sad,Henry David Thoreau,https://www.brainyquote.com/authors/henry-david-thoreau-quotes
To have felt too much is to end in feeling nothing.,https://www.brainyquote.com/quotes/dorothy_thompson_114300?src=t_sad,Dorothy Thompson,https://www.brainyquote.com/authors/dorothy-thompson-quotes
"First, accept sadness. Realize that without losing, winning isn't so great.",https://www.brainyquote.com/quotes/alyssa_milano_467955?src=t_sad,Alyssa Milano,https://www.brainyquote.com/authors/alyssa-milano-quotes
The word 'happy' would lose its meaning if it were not balanced by sadness.,https://www.brainyquote.com/quotes/carl_jung_125683?src=t_sad,Carl Jung,https://www.brainyquote.com/authors/carl-jung-quotes
Your pain is the breaking of the shell that encloses your understanding.,https://www.brainyquote.com/quotes/khalil_gibran_130948?src=t_sad,Khalil Gibran,https://www.brainyquote.com/authors/khalil-gibran-quotes
"There is no despair so absolute as that which comes with the first moments of our first great sorrow, when we have not yet known what it is to have suffered and be healed, to have despaired and have recovered hope.",https://www.brainyquote.com/quotes/george_eliot_395495?src=t_sad,George Eliot,https://www.brainyquote.com/authors/george-eliot-quotes
Don't grieve. Anything you lose comes round in another form.,https://www.brainyquote.com/quotes/rumi_132950?src=t_sad,Rumi,https://www.brainyquote.com/authors/rumi-quotes
