quote,quote_url,author,author_url
"Think where man's glory most begins and ends, and say my glory was I had such friends.",https://www.brainyquote.com/quotes/william_butler_yeats_108901?src=t_saint_patrick's_day,William Butler Yeats,https://www.brainyquote.com/authors/william-butler-yeats-quotes
"I believe in Christianity as I believe that the sun has risen: not only because I see it, but because by it I see everything else.",https://www.brainyquote.com/quotes/c_s_lewis_162523?src=t_saint_patrick's_day,C. S. Lewis,https://www.brainyquote.com/authors/c-s-lewis-quotes
We have always found the Irish a bit odd. They refuse to be English.,https://www.brainyquote.com/quotes/winston_churchill_111312?src=t_saint_patrick's_day,Winston Churchill,https://www.brainyquote.com/authors/winston-churchill-quotes
"To succeed in life, you need three things: a wishbone, a backbone and a funny bone.",https://www.brainyquote.com/quotes/reba_mcentire_457608?src=t_saint_patrick's_day,Reba McEntire,https://www.brainyquote.com/authors/reba-mcentire-quotes
Cherish your human connections: your relationships with friends and family.,https://www.brainyquote.com/quotes/joseph_brodsky_119970?src=t_saint_patrick's_day,Joseph Brodsky,https://www.brainyquote.com/authors/joseph-brodsky-quotes
I say luck is when an opportunity comes along and you're prepared for it.,https://www.brainyquote.com/quotes/denzel_washington_384305?src=t_saint_patrick's_day,Denzel Washington,https://www.brainyquote.com/authors/denzel-washington-quotes
"I love everything that's old, - old friends, old times, old manners, old books, old wine.",https://www.brainyquote.com/quotes/oliver_goldsmith_385884?src=t_saint_patrick's_day,Oliver Goldsmith,https://www.brainyquote.com/authors/oliver-goldsmith-quotes
"You gotta try your luck at least once a day, because you could be going around lucky all day and not even know it.",https://www.brainyquote.com/quotes/jimmy_dean_412459?src=t_saint_patrick's_day,Jimmy Dean,https://www.brainyquote.com/authors/jimmy-dean-quotes
Our hearts were drunk with a beauty Our eyes could never see.,https://www.brainyquote.com/quotes/george_william_russell_189552?src=t_saint_patrick's_day,George William Russell,https://www.brainyquote.com/authors/george-william-russell-quotes
"Christ beside me, Christ before me, Christ behind me, Christ within me, Christ beneath me, Christ above me.",https://www.brainyquote.com/quotes/saint_patrick_190970?src=t_saint_patrick's_day,Saint Patrick,https://www.brainyquote.com/authors/saint-patrick-quotes
"Our prayers should be for blessings in general, for God knows best what is good for us.",https://www.brainyquote.com/quotes/socrates_107382?src=t_saint_patrick's_day,Socrates,https://www.brainyquote.com/authors/socrates-quotes
"You've got to think lucky. If you fall into a mudhole, check your back pocket - you might have caught a fish.",https://www.brainyquote.com/quotes/darrell_royal_246987?src=t_saint_patrick's_day,Darrell Royal,https://www.brainyquote.com/authors/darrell-royal-quotes
Luck is believing you're lucky.,https://www.brainyquote.com/quotes/tennessee_williams_140904?src=t_saint_patrick's_day,Tennessee Williams,https://www.brainyquote.com/authors/tennessee-williams-quotes
Fond memory brings the light of other days around me.,https://www.brainyquote.com/quotes/thomas_moore_378757?src=t_saint_patrick's_day,Thomas Moore,https://www.brainyquote.com/authors/thomas-moore-quotes
"Love is never defeated, and I could add, the history of Ireland proves it.",https://www.brainyquote.com/quotes/pope_john_paul_ii_178861?src=t_saint_patrick's_day,Pope John Paul II,https://www.brainyquote.com/authors/pope-john-paul-ii-quotes
"Geographically, Ireland is a medium-sized rural island that is slowly but steadily being consumed by sheep.",https://www.brainyquote.com/quotes/dave_barry_102447?src=t_saint_patrick's_day,Dave Barry,https://www.brainyquote.com/authors/dave-barry-quotes
"I try to be grateful for the abundance of the blessings that I have, for the journey that I'm on and to relish each day as a gift.",https://www.brainyquote.com/quotes/james_mcgreevey_444704?src=t_saint_patrick's_day,James McGreevey,https://www.brainyquote.com/authors/james-mcgreevey-quotes
"If it was raining soup, the Irish would go out with forks.",https://www.brainyquote.com/quotes/brendan_behan_128237?src=t_saint_patrick's_day,Brendan Behan,https://www.brainyquote.com/authors/brendan-behan-quotes
"Be true to your work, your word, and your friend.",https://www.brainyquote.com/quotes/john_boyle_oreilly_100618?src=t_saint_patrick's_day,John Boyle O'Reilly,https://www.brainyquote.com/authors/john-boyle-oreilly-quotes
Being Irish is very much a part of who I am. I take it everywhere with me.,https://www.brainyquote.com/quotes/colin_farrell_178248?src=t_saint_patrick's_day,Colin Farrell,https://www.brainyquote.com/authors/colin-farrell-quotes
