quote,quote_url,author,author_url
What is research but a blind date with knowledge?,https://www.brainyquote.com/quotes/will_harvey_172709?src=t_science,Will Harvey,https://www.brainyquote.com/authors/will-harvey-quotes
"Only two things are infinite, the universe and human stupidity, and I'm not sure about the former.",https://www.brainyquote.com/quotes/albert_einstein_100015?src=t_science,Albert Einstein,https://www.brainyquote.com/authors/albert-einstein-quotes
Our scientific power has outrun our spiritual power. We have guided missiles and misguided men.,https://www.brainyquote.com/quotes/martin_luther_king_jr_102371?src=t_science,"Martin Luther King, Jr.",https://www.brainyquote.com/authors/martin-luther-king-jr-quotes
"Everything is theoretically impossible, until it is done.",https://www.brainyquote.com/quotes/robert_a_heinlein_121947?src=t_science,Robert A. Heinlein,https://www.brainyquote.com/authors/robert-a-heinlein-quotes
"We live in a society exquisitely dependent on science and technology, in which hardly anyone knows anything about science and technology.",https://www.brainyquote.com/quotes/carl_sagan_130525?src=t_science,Carl Sagan,https://www.brainyquote.com/authors/carl-sagan-quotes
The science of today is the technology of tomorrow.,https://www.brainyquote.com/quotes/edward_teller_102595?src=t_science,Edward Teller,https://www.brainyquote.com/authors/edward-teller-quotes
The saddest aspect of life right now is that science gathers knowledge faster than society gathers wisdom.,https://www.brainyquote.com/quotes/isaac_asimov_107635?src=t_science,Isaac Asimov,https://www.brainyquote.com/authors/isaac-asimov-quotes
"In all science, error precedes the truth, and it is better it should go first than last.",https://www.brainyquote.com/quotes/horace_walpole_161868?src=t_science,Horace Walpole,https://www.brainyquote.com/authors/horace-walpole-quotes
"Science is a way of life. Science is a perspective. Science is the process that takes us from confusion to understanding in a manner that's precise, predictive and reliable - a transformation, for those lucky enough to experience it, that is empowering and emotional.",https://www.brainyquote.com/quotes/brian_greene_551456?src=t_science,Brian Greene,https://www.brainyquote.com/authors/brian-greene-quotes
"The universe is made of stories, not of atoms.",https://www.brainyquote.com/quotes/muriel_rukeyser_131826?src=t_science,Muriel Rukeyser,https://www.brainyquote.com/authors/muriel-rukeyser-quotes
Research is what I'm doing when I don't know what I'm doing.,https://www.brainyquote.com/quotes/wernher_von_braun_107615?src=t_science,Wernher von Braun,https://www.brainyquote.com/authors/wernher-von-braun-quotes
Science is fun. Science is curiosity. We all have natural curiosity. Science is a process of investigating. It's posing questions and coming up with a method. It's delving in.,https://www.brainyquote.com/quotes/sally_ride_444240?src=t_science,Sally Ride,https://www.brainyquote.com/authors/sally-ride-quotes
Science is organized knowledge. Wisdom is organized life.,https://www.brainyquote.com/quotes/immanuel_kant_163227?src=t_science,Immanuel Kant,https://www.brainyquote.com/authors/immanuel-kant-quotes
The distance between insanity and genius is measured only by success.,https://www.brainyquote.com/quotes/bruce_feirstein_161982?src=t_science,Bruce Feirstein,https://www.brainyquote.com/authors/bruce-feirstein-quotes
"Science knows no country, because knowledge belongs to humanity, and is the torch which illuminates the world. Science is the highest personification of the nation because that nation will remain the first which carries the furthest the works of thought and intelligence.",https://www.brainyquote.com/quotes/louis_pasteur_164090?src=t_science,Louis Pasteur,https://www.brainyquote.com/authors/louis-pasteur-quotes
Science never solves a problem without creating ten more.,https://www.brainyquote.com/quotes/george_bernard_shaw_107633?src=t_science,George Bernard Shaw,https://www.brainyquote.com/authors/george-bernard-shaw-quotes
Nothing has such power to broaden the mind as the ability to investigate systematically and truly all that comes under thy observation in life.,https://www.brainyquote.com/quotes/marcus_aurelius_118558?src=t_science,Marcus Aurelius,https://www.brainyquote.com/authors/marcus-aurelius-quotes
"Science and technology revolutionize our lives, but memory, tradition and myth frame our response.",https://www.brainyquote.com/quotes/arthur_m_schlesinger_109503?src=t_science,Arthur M. Schlesinger,https://www.brainyquote.com/authors/arthur-m-schlesinger-quotes
"Science, my lad, is made up of mistakes, but they are mistakes which it is useful to make, because they lead little by little to the truth.",https://www.brainyquote.com/quotes/jules_verne_392661?src=t_science,Jules Verne,https://www.brainyquote.com/authors/jules-verne-quotes
"Science is not only a disciple of reason but, also, one of romance and passion.",https://www.brainyquote.com/quotes/stephen_hawking_447565?src=t_science,Stephen Hawking,https://www.brainyquote.com/authors/stephen-hawking-quotes
Science is the great antidote to the poison of enthusiasm and superstition.,https://www.brainyquote.com/quotes/adam_smith_118634?src=t_science,Adam Smith,https://www.brainyquote.com/authors/adam-smith-quotes
