quote,quote_url,author,author_url
Don't cry because it's over. Smile because it happened.,https://www.brainyquote.com/quotes/dr_seuss_161986?src=t_smile,Dr. Seuss,https://www.brainyquote.com/authors/dr-seuss-quotes
A smile is a curve that sets everything straight.,https://www.brainyquote.com/quotes/phyllis_diller_161883?src=t_smile,Phyllis Diller,https://www.brainyquote.com/authors/phyllis-diller-quotes
"Let my soul smile through my heart and my heart smile through my eyes, that I may scatter rich smiles in sad hearts.",https://www.brainyquote.com/quotes/paramahansa_yogananda_163486?src=t_smile,Paramahansa Yogananda,https://www.brainyquote.com/authors/paramahansa-yogananda-quotes
"Too often we underestimate the power of a touch, a smile, a kind word, a listening ear, an honest compliment, or the smallest act of caring, all of which have the potential to turn a life around.",https://www.brainyquote.com/quotes/leo_buscaglia_106299?src=t_smile,Leo Buscaglia,https://www.brainyquote.com/authors/leo-buscaglia-quotes
"Smile, it's free therapy.",https://www.brainyquote.com/quotes/douglas_horton_152742?src=t_smile,Douglas Horton,https://www.brainyquote.com/authors/douglas-horton-quotes
Colors are the smiles of nature.,https://www.brainyquote.com/quotes/leigh_hunt_153614?src=t_smile,Leigh Hunt,https://www.brainyquote.com/authors/leigh-hunt-quotes
Smile in the mirror. Do that every morning and you'll start to see a big difference in your life.,https://www.brainyquote.com/quotes/yoko_ono_460619?src=t_smile,Yoko Ono,https://www.brainyquote.com/authors/yoko-ono-quotes
"The real man smiles in trouble, gathers strength from distress, and grows brave by reflection.",https://www.brainyquote.com/quotes/thomas_paine_386293?src=t_smile,Thomas Paine,https://www.brainyquote.com/authors/thomas-paine-quotes
A warm smile is the universal language of kindness.,https://www.brainyquote.com/quotes/william_arthur_ward_190443?src=t_smile,William Arthur Ward,https://www.brainyquote.com/authors/william-arthur-ward-quotes
"A gentle word, a kind look, a good-natured smile can work wonders and accomplish miracles.",https://www.brainyquote.com/quotes/william_hazlitt_385941?src=t_smile,William Hazlitt,https://www.brainyquote.com/authors/william-hazlitt-quotes
"Be thou the rainbow in the storms of life. The evening beam that smiles the clouds away, and tints tomorrow with prophetic ray.",https://www.brainyquote.com/quotes/lord_byron_161971?src=t_smile,Lord Byron,https://www.brainyquote.com/authors/lord-byron-quotes
