quote,quote_url,author,author_url
The most dangerous creation of any society is the man who has nothing to lose.,https://www.brainyquote.com/quotes/james_baldwin_131771?src=t_society,James Baldwin,https://www.brainyquote.com/authors/james-baldwin-quotes
"We must reject the idea that every time a law's broken, society is guilty rather than the lawbreaker. It is time to restore the American precept that each individual is accountable for his actions.",https://www.brainyquote.com/quotes/ronald_reagan_147706?src=t_society,Ronald Reagan,https://www.brainyquote.com/authors/ronald-reagan-quotes
Every society gets the kind of criminal it deserves. What is equally true is that every community gets the kind of law enforcement it insists on.,https://www.brainyquote.com/quotes/robert_kennedy_400860?src=t_society,Robert Kennedy,https://www.brainyquote.com/authors/robert-kennedy-quotes
There can be no keener revelation of a society's soul than the way in which it treats its children.,https://www.brainyquote.com/quotes/nelson_mandela_178795?src=t_society,Nelson Mandela,https://www.brainyquote.com/authors/nelson-mandela-quotes
"You must not lose faith in humanity. Humanity is an ocean; if a few drops of the ocean are dirty, the ocean does not become dirty.",https://www.brainyquote.com/quotes/mahatma_gandhi_150710?src=t_society,Mahatma Gandhi,https://www.brainyquote.com/authors/mahatma-gandhi-quotes
A people that values its privileges above its principles soon loses both.,https://www.brainyquote.com/quotes/dwight_d_eisenhower_103606?src=t_society,Dwight D. Eisenhower,https://www.brainyquote.com/authors/dwight-d-eisenhower-quotes
I say what I want to say and do what I want to do. There's no in between. People will either love you for it or hate you for it.,https://www.brainyquote.com/quotes/eminem_299026?src=t_society,Eminem,https://www.brainyquote.com/authors/eminem-quotes
"No society can surely be flourishing and happy, of which the far greater part of the members are poor and miserable.",https://www.brainyquote.com/quotes/adam_smith_389733?src=t_society,Adam Smith,https://www.brainyquote.com/authors/adam-smith-quotes
Our society is run by insane people for insane objectives. I think we're being run by maniacs for maniacal ends and I think I'm liable to be put away as insane for expressing that. That's what's insane about it.,https://www.brainyquote.com/quotes/john_lennon_167339?src=t_society,John Lennon,https://www.brainyquote.com/authors/john-lennon-quotes
"He who is unable to live in society, or who has no need because he is sufficient for himself, must be either a beast or a god.",https://www.brainyquote.com/quotes/aristotle_101741?src=t_society,Aristotle,https://www.brainyquote.com/authors/aristotle-quotes
"Anyway, no drug, not even alcohol, causes the fundamental ills of society. If we're looking for the source of our troubles, we shouldn't test people for drugs, we should test them for stupidity, ignorance, greed and love of power.",https://www.brainyquote.com/quotes/p_j_orourke_106010?src=t_society,P. J. O'Rourke,https://www.brainyquote.com/authors/p-j-orourke-quotes
A society that has more justice is a society that needs less charity.,https://www.brainyquote.com/quotes/ralph_nader_166228?src=t_society,Ralph Nader,https://www.brainyquote.com/authors/ralph-nader-quotes
"The trouble with the rat race is that even if you win, you're still a rat.",https://www.brainyquote.com/quotes/lily_tomlin_100013?src=t_society,Lily Tomlin,https://www.brainyquote.com/authors/lily-tomlin-quotes
A good person can make another person good; it means that goodness will elicit goodness in the society; other persons will also be good.,https://www.brainyquote.com/quotes/bhumibol_adulyadej_322572?src=t_society,Bhumibol Adulyadej,https://www.brainyquote.com/authors/bhumibol-adulyadej-quotes
Our most basic common link is that we all inhabit this planet. We all breathe the same air. We all cherish our children's future. And we are all mortal.,https://www.brainyquote.com/quotes/john_f_kennedy_132358?src=t_society,John F. Kennedy,https://www.brainyquote.com/authors/john-f-kennedy-quotes
All that is valuable in human society depends upon the opportunity for development accorded the individual.,https://www.brainyquote.com/quotes/albert_einstein_148835?src=t_society,Albert Einstein,https://www.brainyquote.com/authors/albert-einstein-quotes
"Normal social behavior requires that we be able to recognize identities in spite of change. Unless we can do so, there can be no human society as we know it.",https://www.brainyquote.com/quotes/kenneth_l_pike_208184?src=t_society,Kenneth L. Pike,https://www.brainyquote.com/authors/kenneth-l-pike-quotes
An armed society is a polite society. Manners are good when one may have to back up his acts with his life.,https://www.brainyquote.com/quotes/robert_a_heinlein_100989?src=t_society,Robert A. Heinlein,https://www.brainyquote.com/authors/robert-a-heinlein-quotes
"Society as a whole benefits immeasurably from a climate in which all persons, regardless of race or gender, may have the opportunity to earn respect, responsibility, advancement and remuneration based on ability.",https://www.brainyquote.com/quotes/sandra_day_oconnor_372200?src=t_society,Sandra Day O'Connor,https://www.brainyquote.com/authors/sandra-day-oconnor-quotes
The ultimate test of a moral society is the kind of world that it leaves to its children.,https://www.brainyquote.com/quotes/dietrich_bonhoeffer_385907?src=t_society,Dietrich Bonhoeffer,https://www.brainyquote.com/authors/dietrich-bonhoeffer-quotes
"I think this society suffers so much from too much freedom, too many rights that allow people to be irresponsible.",https://www.brainyquote.com/quotes/boyd_rice_388831?src=t_society,Boyd Rice,https://www.brainyquote.com/authors/boyd-rice-quotes
"Society does not consist of individuals but expresses the sum of interrelations, the relations within which these individuals stand.",https://www.brainyquote.com/quotes/karl_marx_157965?src=t_society,Karl Marx,https://www.brainyquote.com/authors/karl-marx-quotes
I think the first duty of society is justice.,https://www.brainyquote.com/quotes/alexander_hamilton_378158?src=t_society,Alexander Hamilton,https://www.brainyquote.com/authors/alexander-hamilton-quotes
The most violent element in society is ignorance.,https://www.brainyquote.com/quotes/emma_goldman_105999?src=t_society,Emma Goldman,https://www.brainyquote.com/authors/emma-goldman-quotes
The danger of the past was that men became slaves. The danger of the future is that men may become robots.,https://www.brainyquote.com/quotes/erich_fromm_161886?src=t_society,Erich Fromm,https://www.brainyquote.com/authors/erich-fromm-quotes
"Where justice is denied, where poverty is enforced, where ignorance prevails, and where any one class is made to feel that society is an organized conspiracy to oppress, rob and degrade them, neither persons nor property will be safe.",https://www.brainyquote.com/quotes/frederick_douglass_163959?src=t_society,Frederick Douglass,https://www.brainyquote.com/authors/frederick-douglass-quotes
Society exists only as a mental concept; in the real world there are only individuals.,https://www.brainyquote.com/quotes/oscar_wilde_385557?src=t_society,Oscar Wilde,https://www.brainyquote.com/authors/oscar-wilde-quotes
"In a closed society where everybody's guilty, the only crime is getting caught. In a world of thieves, the only final sin is stupidity.",https://www.brainyquote.com/quotes/hunter_s_thompson_393385?src=t_society,Hunter S. Thompson,https://www.brainyquote.com/authors/hunter-s-thompson-quotes
"Our individual lives cannot, generally, be works of art unless the social order is also.",https://www.brainyquote.com/quotes/charles_horton_cooley_101142?src=t_society,Charles Horton Cooley,https://www.brainyquote.com/authors/charles-horton-cooley-quotes
It is incontestable and deplorable that Negroes have committed crimes; but they are derivative crimes. They are born of the greater crimes of the white society.,https://www.brainyquote.com/quotes/martin_luther_king_jr_115047?src=t_society,"Martin Luther King, Jr.",https://www.brainyquote.com/authors/martin-luther-king-jr-quotes
The enemy of society is middle class and the enemy of life is middle age.,https://www.brainyquote.com/quotes/orson_welles_109698?src=t_society,Orson Welles,https://www.brainyquote.com/authors/orson-welles-quotes
The society which scorns excellence in plumbing as a humble activity and tolerates shoddiness in philosophy because it is an exalted activity will have neither good plumbing nor good philosophy: neither its pipes nor its theories will hold water.,https://www.brainyquote.com/quotes/john_w_gardner_101143?src=t_society,John W. Gardner,https://www.brainyquote.com/authors/john-w-gardner-quotes
We have to talk about liberating minds as well as liberating society.,https://www.brainyquote.com/quotes/angela_davis_158900?src=t_society,Angela Davis,https://www.brainyquote.com/authors/angela-davis-quotes
"Think what a better world it would be if we all, the whole world, had cookies and milk about three o'clock every afternoon and then lay down on our blankets for a nap.",https://www.brainyquote.com/quotes/barbara_jordan_107872?src=t_society,Barbara Jordan,https://www.brainyquote.com/authors/barbara-jordan-quotes
Society cares for the individual only so far as he is profitable.,https://www.brainyquote.com/quotes/simone_de_beauvoir_149623?src=t_society,Simone de Beauvoir,https://www.brainyquote.com/authors/simone-de-beauvoir-quotes
Neither the life of an individual nor the history of a society can be understood without understanding both.,https://www.brainyquote.com/quotes/c_wright_mills_388772?src=t_society,C. Wright Mills,https://www.brainyquote.com/authors/c-wright-mills-quotes
We are trying to construct a more inclusive society. We are going to make a country in which no one is left out.,https://www.brainyquote.com/quotes/franklin_d_roosevelt_397462?src=t_society,Franklin D. Roosevelt,https://www.brainyquote.com/authors/franklin-d-roosevelt-quotes
Most of the change we think we see in life is due to truths being in and out of favor.,https://www.brainyquote.com/quotes/robert_frost_163692?src=t_society,Robert Frost,https://www.brainyquote.com/authors/robert-frost-quotes
Our society strives to avoid any possibility of offending anyone - except God.,https://www.brainyquote.com/quotes/billy_graham_446537?src=t_society,Billy Graham,https://www.brainyquote.com/authors/billy-graham-quotes
"One can be instructed in society, one is inspired only in solitude.",https://www.brainyquote.com/quotes/johann_wolfgang_von_goeth_125419?src=t_society,Johann Wolfgang von Goethe,https://www.brainyquote.com/authors/johann-wolfgang-von-goeth-quotes
"I know of no safe depository of the ultimate powers of the society but the people themselves; and if we think them not enlightened enough to exercise their control with a wholesome discretion, the remedy is not to take it from them but to inform their discretion.",https://www.brainyquote.com/quotes/thomas_jefferson_136404?src=t_society,Thomas Jefferson,https://www.brainyquote.com/authors/thomas-jefferson-quotes
The world is governed more by appearance than realities so that it is fully as necessary to seem to know something as to know it.,https://www.brainyquote.com/quotes/daniel_webster_161887?src=t_society,Daniel Webster,https://www.brainyquote.com/authors/daniel-webster-quotes
"Formerly, when religion was strong and science weak, men mistook magic for medicine; now, when science is strong and religion weak, men mistake medicine for magic.",https://www.brainyquote.com/quotes/thomas_szasz_106710?src=t_society,Thomas Szasz,https://www.brainyquote.com/authors/thomas-szasz-quotes
Princes and governments are far more dangerous than other elements within society.,https://www.brainyquote.com/quotes/niccolo_machiavelli_157833?src=t_society,Niccolo Machiavelli,https://www.brainyquote.com/authors/niccolo-machiavelli-quotes
"If those in charge of our society - politicians, corporate executives, and owners of press and television - can dominate our ideas, they will be secure in their power. They will not need soldiers patrolling the streets. We will control ourselves.",https://www.brainyquote.com/quotes/howard_zinn_138304?src=t_society,Howard Zinn,https://www.brainyquote.com/authors/howard-zinn-quotes
"What's done to children, they will do to society.",https://www.brainyquote.com/quotes/karl_a_menninger_107003?src=t_society,Karl A. Menninger,https://www.brainyquote.com/authors/karl-a-menninger-quotes
"When a nation goes down, or a society perishes, one condition may always be found; they forgot where they came from. They lost sight of what had brought them along.",https://www.brainyquote.com/quotes/carl_sandburg_400796?src=t_society,Carl Sandburg,https://www.brainyquote.com/authors/carl-sandburg-quotes
"No society has been able to abolish human sadness, no political system can deliver us from the pain of living, from our fear of death, our thirst for the absolute. It is the human condition that directs the social condition, not vice versa.",https://www.brainyquote.com/quotes/eugene_ionesco_165225?src=t_society,Eugene Ionesco,https://www.brainyquote.com/authors/eugene-ionesco-quotes
"If we wish to preserve a free society, it is essential that we recognize that the desirability of a particular object is not sufficient justification for the use of coercion.",https://www.brainyquote.com/quotes/friedrich_august_von_haye_201838?src=t_society,Friedrich August von Hayek,https://www.brainyquote.com/authors/friedrich-august-von-haye-quotes
"There is no such thing as society: there are individual men and women, and there are families.",https://www.brainyquote.com/quotes/margaret_thatcher_165648?src=t_society,Margaret Thatcher,https://www.brainyquote.com/authors/margaret-thatcher-quotes
"I had three chairs in my house; one for solitude, two for friendship, three for society.",https://www.brainyquote.com/quotes/henry_david_thoreau_396966?src=t_society,Henry David Thoreau,https://www.brainyquote.com/authors/henry-david-thoreau-quotes
"Our society must make it right and possible for old people not to fear the young or be deserted by them, for the test of a civilization is the way that it cares for its helpless members.",https://www.brainyquote.com/quotes/pearl_s_buck_125842?src=t_society,Pearl S. Buck,https://www.brainyquote.com/authors/pearl-s-buck-quotes
One of the definitions of sanity is the ability to tell real from unreal. Soon we'll need a new definition.,https://www.brainyquote.com/quotes/alvin_toffler_107879?src=t_society,Alvin Toffler,https://www.brainyquote.com/authors/alvin-toffler-quotes
