quote,quote_url,author,author_url
I would like to die on Mars. Just not on impact.,https://www.brainyquote.com/quotes/elon_musk_567227?src=t_space,Elon Musk,https://www.brainyquote.com/authors/elon-musk-quotes
"That's one small step for a man, one giant leap for mankind.",https://www.brainyquote.com/quotes/neil_armstrong_101137?src=t_space,Neil Armstrong,https://www.brainyquote.com/authors/neil-armstrong-quotes
The Universe is under no obligation to make sense to you.,https://www.brainyquote.com/quotes/neil_degrasse_tyson_800277?src=t_space,Neil deGrasse Tyson,https://www.brainyquote.com/authors/neil-degrasse-tyson-quotes
"The Earth is the cradle of humanity, but mankind cannot stay in the cradle forever.",https://www.brainyquote.com/quotes/konstantin_tsiolkovsky_183177?src=t_space,Konstantin Tsiolkovsky,https://www.brainyquote.com/authors/konstantin-tsiolkovsky-quotes
There are no passengers on spaceship earth. We are all crew.,https://www.brainyquote.com/quotes/marshall_mcluhan_100969?src=t_space,Marshall McLuhan,https://www.brainyquote.com/authors/marshall-mcluhan-quotes
The moon is a friend for the lonesome to talk to.,https://www.brainyquote.com/quotes/carl_sandburg_378082?src=t_space,Carl Sandburg,https://www.brainyquote.com/authors/carl-sandburg-quotes
Space is an inspirational concept that allows you to dream big.,https://www.brainyquote.com/quotes/peter_diamandis_488492?src=t_space,Peter Diamandis,https://www.brainyquote.com/authors/peter-diamandis-quotes
"The stars don't look bigger, but they do look brighter.",https://www.brainyquote.com/quotes/sally_ride_259203?src=t_space,Sally Ride,https://www.brainyquote.com/authors/sally-ride-quotes
Who are we? We find that we live on an insignificant planet of a humdrum star lost in a galaxy tucked away in some forgotten corner of a universe in which there are far more galaxies than people.,https://www.brainyquote.com/quotes/carl_sagan_122799?src=t_space,Carl Sagan,https://www.brainyquote.com/authors/carl-sagan-quotes
It takes a planet to explore the universe.,https://www.brainyquote.com/quotes/dylan_taylor_1195699?src=t_space,Dylan Taylor,https://www.brainyquote.com/authors/dylan-taylor-quotes
We are just an advanced breed of monkeys on a minor planet of a very average star. But we can understand the Universe. That makes us something very special.,https://www.brainyquote.com/quotes/stephen_hawking_122795?src=t_space,Stephen Hawking,https://www.brainyquote.com/authors/stephen-hawking-quotes
"If you are in a spaceship that is traveling at the speed of light, and you turn on the headlights, does anything happen?",https://www.brainyquote.com/quotes/steven_wright_161472?src=t_space,Steven Wright,https://www.brainyquote.com/authors/steven-wright-quotes
"Modern science says: 'The sun is the past, the earth is the present, the moon is the future.' From an incandescent mass we have originated, and into a frozen mass we shall turn. Merciless is the law of nature, and rapidly and irresistibly we are drawn to our doom.",https://www.brainyquote.com/quotes/nikola_tesla_596904?src=t_space,Nikola Tesla,https://www.brainyquote.com/authors/nikola-tesla-quotes
"Hey sky, take off your hat, I'm on my way!",https://www.brainyquote.com/quotes/valentina_tereshkova_734044?src=t_space,Valentina Tereshkova,https://www.brainyquote.com/authors/valentina-tereshkova-quotes
"When you look at the stars and the galaxy, you feel that you are not just from any particular piece of land, but from the solar system.",https://www.brainyquote.com/quotes/kalpana_chawla_182664?src=t_space,Kalpana Chawla,https://www.brainyquote.com/authors/kalpana-chawla-quotes
