quote,quote_url,author,author_url
"I've missed more than 9000 shots in my career. I've lost almost 300 games. 26 times, I've been trusted to take the game winning shot and missed. I've failed over and over and over again in my life. And that is why I succeed.",https://www.brainyquote.com/quotes/michael_jordan_127660?src=t_sports,Michael Jordan,https://www.brainyquote.com/authors/michael-jordan-quotes
Many men go fishing all of their lives without knowing that it is not fish they are after.,https://www.brainyquote.com/quotes/henry_david_thoreau_107147?src=t_sports,Henry David Thoreau,https://www.brainyquote.com/authors/henry-david-thoreau-quotes
"When the going gets weird, the weird turn pro.",https://www.brainyquote.com/quotes/hunter_s_thompson_100513?src=t_sports,Hunter S. Thompson,https://www.brainyquote.com/authors/hunter-s-thompson-quotes
"Show me a good loser, and I'll show you a loser.",https://www.brainyquote.com/quotes/vince_lombardi_161268?src=t_sports,Vince Lombardi,https://www.brainyquote.com/authors/vince-lombardi-quotes
Success is where preparation and opportunity meet.,https://www.brainyquote.com/quotes/bobby_unser_126431?src=t_sports,Bobby Unser,https://www.brainyquote.com/authors/bobby-unser-quotes
You can't win unless you learn how to lose.,https://www.brainyquote.com/quotes/kareem_abduljabbar_131744?src=t_sports,Kareem Abdul-Jabbar,https://www.brainyquote.com/authors/kareem-abdul-jabbar-quotes
"Football is a simple game. Twenty-two men chase a ball for 90 minutes and at the end, the Germans always win.",https://www.brainyquote.com/quotes/gary_lineker_422219?src=t_sports,Gary Lineker,https://www.brainyquote.com/authors/gary-lineker-quotes
Some people are born on third base and go through life thinking they hit a triple.,https://www.brainyquote.com/quotes/barry_switzer_104243?src=t_sports,Barry Switzer,https://www.brainyquote.com/authors/barry-switzer-quotes
"Gold medals aren't really made of gold. They're made of sweat, determination, and a hard-to-find alloy called guts.",https://www.brainyquote.com/quotes/dan_gable_198628?src=t_sports,Dan Gable,https://www.brainyquote.com/authors/dan-gable-quotes
People ask me what I do in winter when there's no baseball. I'll tell you what I do. I stare out the window and wait for spring.,https://www.brainyquote.com/quotes/rogers_hornsby_104218?src=t_sports,Rogers Hornsby,https://www.brainyquote.com/authors/rogers-hornsby-quotes
"Every day is a new opportunity. You can build on yesterday's success or put its failures behind and start over again. That's the way life is, with a new game every day, and that's the way baseball is.",https://www.brainyquote.com/quotes/bob_feller_139608?src=t_sports,Bob Feller,https://www.brainyquote.com/authors/bob-feller-quotes
