quote,quote_url,author,author_url
"That though the radiance which was once so bright be now forever taken from my sight. Though nothing can bring back the hour of splendor in the grass, glory in the flower. We will grieve not, rather find strength in what remains behind.",https://www.brainyquote.com/quotes/william_wordsworth_147034?src=t_sympathy,William Wordsworth,https://www.brainyquote.com/authors/william-wordsworth-quotes
Death is not the greatest loss in life. The greatest loss is what dies inside us while we live.,https://www.brainyquote.com/quotes/norman_cousins_121747?src=t_sympathy,Norman Cousins,https://www.brainyquote.com/authors/norman-cousins-quotes
"Unable are the loved to die, for love is immortality.",https://www.brainyquote.com/quotes/emily_dickinson_138563?src=t_sympathy,Emily Dickinson,https://www.brainyquote.com/authors/emily-dickinson-quotes
"The purpose of human life is to serve, and to show compassion and the will to help others.",https://www.brainyquote.com/quotes/albert_schweitzer_133530?src=t_sympathy,Albert Schweitzer,https://www.brainyquote.com/authors/albert-schweitzer-quotes
Grief is the price we pay for love.,https://www.brainyquote.com/quotes/queen_elizabeth_ii_178865?src=t_sympathy,Queen Elizabeth II,https://www.brainyquote.com/authors/queen-elizabeth-ii-quotes
What does love look like? It has the hands to help others. It has the feet to hasten to the poor and needy. It has eyes to see misery and want. It has the ears to hear the sighs and sorrows of men. That is what love looks like.,https://www.brainyquote.com/quotes/saint_augustine_148553?src=t_sympathy,Saint Augustine,https://www.brainyquote.com/authors/saint-augustine-quotes
Worry does not empty tomorrow of its sorrow. It empties today of its strength.,https://www.brainyquote.com/quotes/corrie_ten_boom_135203?src=t_sympathy,Corrie Ten Boom,https://www.brainyquote.com/authors/corrie-ten-boom-quotes
I am not interested in picking up crumbs of compassion thrown from the table of someone who considers himself my master. I want the full menu of rights.,https://www.brainyquote.com/quotes/desmond_tutu_105878?src=t_sympathy,Desmond Tutu,https://www.brainyquote.com/authors/desmond-tutu-quotes
"Grief changes shape, but it never ends.",https://www.brainyquote.com/quotes/keanu_reeves_369036?src=t_sympathy,Keanu Reeves,https://www.brainyquote.com/authors/keanu-reeves-quotes
There is no greater sorrow than to recall happiness in times of misery.,https://www.brainyquote.com/quotes/dante_alighieri_381202?src=t_sympathy,Dante Alighieri,https://www.brainyquote.com/authors/dante-alighieri-quotes
"Sorrow can be alleviated by good sleep, a bath and a glass of wine.",https://www.brainyquote.com/quotes/thomas_aquinas_186906?src=t_sympathy,Thomas Aquinas,https://www.brainyquote.com/authors/thomas-aquinas-quotes
There is no pain so great as the memory of joy in present grief.,https://www.brainyquote.com/quotes/aeschylus_383359?src=t_sympathy,Aeschylus,https://www.brainyquote.com/authors/aeschylus-quotes
"When sorrows come, they come not single spies, but in battalions.",https://www.brainyquote.com/quotes/william_shakespeare_118697?src=t_sympathy,William Shakespeare,https://www.brainyquote.com/authors/william-shakespeare-quotes
"One's life has value so long as one attributes value to the life of others, by means of love, friendship, indignation and compassion.",https://www.brainyquote.com/quotes/simone_de_beauvoir_145673?src=t_sympathy,Simone de Beauvoir,https://www.brainyquote.com/authors/simone-de-beauvoir-quotes
"When you are sorrowful look again in your heart, and you shall see that in truth you are weeping for that which has been your delight.",https://www.brainyquote.com/quotes/khalil_gibran_393767?src=t_sympathy,Khalil Gibran,https://www.brainyquote.com/authors/khalil-gibran-quotes
"Here bring your wounded hearts, here tell your anguish; Earth has no sorrow that Heaven cannot heal.",https://www.brainyquote.com/quotes/thomas_moore_386766?src=t_sympathy,Thomas Moore,https://www.brainyquote.com/authors/thomas-moore-quotes
There is no grief like the grief that does not speak.,https://www.brainyquote.com/quotes/henry_wadsworth_longfello_379337?src=t_sympathy,Henry Wadsworth Longfellow,https://www.brainyquote.com/authors/henry-wadsworth-longfello-quotes
"Loss and possession, death and life are one, There falls no shadow where there shines no sun.",https://www.brainyquote.com/quotes/hilaire_belloc_133191?src=t_sympathy,Hilaire Belloc,https://www.brainyquote.com/authors/hilaire-belloc-quotes
"We should feel sorrow, but not sink under its oppression.",https://www.brainyquote.com/quotes/confucius_382507?src=t_sympathy,Confucius,https://www.brainyquote.com/authors/confucius-quotes
A sorrow's crown of sorrow is remembering happier times.,https://www.brainyquote.com/quotes/alfred_lord_tennyson_153711?src=t_sympathy,Alfred Lord Tennyson,https://www.brainyquote.com/authors/alfred-lord-tennyson-quotes
"Pity may represent little more than the impersonal concern which prompts the mailing of a check, but true sympathy is the personal concern which demands the giving of one's soul.",https://www.brainyquote.com/quotes/martin_luther_king_jr_297524?src=t_sympathy,"Martin Luther King, Jr.",https://www.brainyquote.com/authors/martin-luther-king-jr-quotes
Tears are the silent language of grief.,https://www.brainyquote.com/quotes/voltaire_145542?src=t_sympathy,Voltaire,https://www.brainyquote.com/authors/voltaire-quotes
"Let no one weep for me, or celebrate my funeral with mourning; for I still live, as I pass to and fro through the mouths of men.",https://www.brainyquote.com/quotes/quintus_ennius_407158?src=t_sympathy,Quintus Ennius,https://www.brainyquote.com/authors/quintus-ennius-quotes
Life has never been easy. Nor is it meant to be. It is a matter of being joyous in the face of sorrow.,https://www.brainyquote.com/quotes/dirk_benedict_214350?src=t_sympathy,Dirk Benedict,https://www.brainyquote.com/authors/dirk-benedict-quotes
"No matter how prepared you think you are for the death of a loved one, it still comes as a shock, and it still hurts very deeply.",https://www.brainyquote.com/quotes/billy_graham_446531?src=t_sympathy,Billy Graham,https://www.brainyquote.com/authors/billy-graham-quotes
It's sad when someone you know becomes someone you knew.,https://www.brainyquote.com/quotes/henry_rollins_381413?src=t_sympathy,Henry Rollins,https://www.brainyquote.com/authors/henry-rollins-quotes
"Truly, it is in darkness that one finds the light, so when we are in sorrow, then this light is nearest of all to us.",https://www.brainyquote.com/quotes/meister_eckhart_390136?src=t_sympathy,Meister Eckhart,https://www.brainyquote.com/authors/meister-eckhart-quotes
