quote,quote_url,author,author_url
"You have to grow from the inside out. None can teach you, none can make you spiritual. There is no other teacher but your own soul.",https://www.brainyquote.com/quotes/swami_vivekananda_389831?src=t_teacher,Swami Vivekananda,https://www.brainyquote.com/authors/swami-vivekananda-quotes
"A good teacher can inspire hope, ignite the imagination, and instill a love of learning.",https://www.brainyquote.com/quotes/brad_henry_167806?src=t_teacher,Brad Henry,https://www.brainyquote.com/authors/brad-henry-quotes
It is the supreme art of the teacher to awaken joy in creative expression and knowledge.,https://www.brainyquote.com/quotes/albert_einstein_122147?src=t_teacher,Albert Einstein,https://www.brainyquote.com/authors/albert-einstein-quotes
"I have learned silence from the talkative, toleration from the intolerant, and kindness from the unkind; yet, strange, I am ungrateful to those teachers.",https://www.brainyquote.com/quotes/khalil_gibran_125408?src=t_teacher,Khalil Gibran,https://www.brainyquote.com/authors/khalil-gibran-quotes
I have come to believe that a great teacher is a great artist and that there are as few as there are any other great artists. Teaching might even be the greatest of the arts since the medium is the human mind and spirit.,https://www.brainyquote.com/quotes/john_steinbeck_122146?src=t_teacher,John Steinbeck,https://www.brainyquote.com/authors/john-steinbeck-quotes
"One looks back with appreciation to the brilliant teachers, but with gratitude to those who touched our human feelings. The curriculum is so much necessary raw material, but warmth is the vital element for the growing plant and for the soul of the child.",https://www.brainyquote.com/quotes/carl_jung_108028?src=t_teacher,Carl Jung,https://www.brainyquote.com/authors/carl-jung-quotes
A teacher affects eternity; he can never tell where his influence stops.,https://www.brainyquote.com/quotes/henry_adams_108018?src=t_teacher,Henry Adams,https://www.brainyquote.com/authors/henry-adams-quotes
"Education is the key to success in life, and teachers make a lasting impact in the lives of their students.",https://www.brainyquote.com/quotes/solomon_ortiz_346229?src=t_teacher,Solomon Ortiz,https://www.brainyquote.com/authors/solomon-ortiz-quotes
"I am indebted to my father for living, but to my teacher for living well.",https://www.brainyquote.com/quotes/alexander_the_great_391912?src=t_teacher,Alexander the Great,https://www.brainyquote.com/authors/alexander-the-great-quotes
"If I am walking with two other men, each of them will serve as my teacher. I will pick out the good points of the one and imitate them, and the bad points of the other and correct them in myself.",https://www.brainyquote.com/quotes/confucius_118477?src=t_teacher,Confucius,https://www.brainyquote.com/authors/confucius-quotes
"Failure is a great teacher, and I think when you make mistakes and you recover from them and you treat them as valuable learning experiences, then you've got something to share.",https://www.brainyquote.com/quotes/steve_harvey_429810?src=t_teacher,Steve Harvey,https://www.brainyquote.com/authors/steve-harvey-quotes
"A good teacher, like a good entertainer first must hold his audience's attention, then he can teach his lesson.",https://www.brainyquote.com/quotes/john_henrik_clarke_212006?src=t_teacher,John Henrik Clarke,https://www.brainyquote.com/authors/john-henrik-clarke-quotes
I touch the future. I teach.,https://www.brainyquote.com/quotes/christa_mcauliffe_134582?src=t_teacher,Christa McAuliffe,https://www.brainyquote.com/authors/christa-mcauliffe-quotes
"You never stop learning. If you have a teacher, you never stop being a student.",https://www.brainyquote.com/quotes/elisabeth_rohm_327622?src=t_teacher,Elisabeth Rohm,https://www.brainyquote.com/authors/elisabeth-rohm-quotes
Your best teacher is your last mistake.,https://www.brainyquote.com/quotes/ralph_nader_100299?src=t_teacher,Ralph Nader,https://www.brainyquote.com/authors/ralph-nader-quotes
"The task of the modern educator is not to cut down jungles, but to irrigate deserts.",https://www.brainyquote.com/quotes/c_s_lewis_165437?src=t_teacher,C. S. Lewis,https://www.brainyquote.com/authors/c-s-lewis-quotes
Good teachers know how to bring out the best in students.,https://www.brainyquote.com/quotes/charles_kuralt_364247?src=t_teacher,Charles Kuralt,https://www.brainyquote.com/authors/charles-kuralt-quotes
The one exclusive sign of thorough knowledge is the power of teaching.,https://www.brainyquote.com/quotes/aristotle_148504?src=t_teacher,Aristotle,https://www.brainyquote.com/authors/aristotle-quotes
The art of teaching is the art of assisting discovery.,https://www.brainyquote.com/quotes/mark_van_doren_108042?src=t_teacher,Mark Van Doren,https://www.brainyquote.com/authors/mark-van-doren-quotes
I like a teacher who gives you something to take home to think about besides homework.,https://www.brainyquote.com/quotes/lily_tomlin_108017?src=t_teacher,Lily Tomlin,https://www.brainyquote.com/authors/lily-tomlin-quotes
I was lucky that I met the right mentors and teachers at the right moment.,https://www.brainyquote.com/quotes/james_levine_261917?src=t_teacher,James Levine,https://www.brainyquote.com/authors/james-levine-quotes
The whole art of teaching is only the art of awakening the natural curiosity of young minds for the purpose of satisfying it afterwards.,https://www.brainyquote.com/quotes/anatole_france_101845?src=t_teacher,Anatole France,https://www.brainyquote.com/authors/anatole-france-quotes
A good teacher is a determined person.,https://www.brainyquote.com/quotes/gilbert_highet_380018?src=t_teacher,Gilbert Highet,https://www.brainyquote.com/authors/gilbert-highet-quotes
"You can get help from teachers, but you are going to have to learn a lot by yourself, sitting alone in a room.",https://www.brainyquote.com/quotes/dr_seuss_109092?src=t_teacher,Dr. Seuss,https://www.brainyquote.com/authors/dr-seuss-quotes
"The dream begins with a teacher who believes in you, who tugs and pushes and leads you to the next plateau, sometimes poking you with a sharp stick called 'truth'.",https://www.brainyquote.com/quotes/dan_rather_108025?src=t_teacher,Dan Rather,https://www.brainyquote.com/authors/dan-rather-quotes
History is Philosophy teaching by example.,https://www.brainyquote.com/quotes/thucydides_378750?src=t_teacher,Thucydides,https://www.brainyquote.com/authors/thucydides-quotes
Teachers can change lives with just the right mix of chalk and challenges.,https://www.brainyquote.com/quotes/joyce_meyer_131902?src=t_teacher,Joyce Meyer,https://www.brainyquote.com/authors/joyce-meyer-quotes
One good teacher in a lifetime may sometimes change a delinquent into a solid citizen.,https://www.brainyquote.com/quotes/philip_wylie_389476?src=t_teacher,Philip Wylie,https://www.brainyquote.com/authors/philip-wylie-quotes
Prosperity is a great teacher; adversity a greater.,https://www.brainyquote.com/quotes/william_hazlitt_101072?src=t_teacher,William Hazlitt,https://www.brainyquote.com/authors/william-hazlitt-quotes
I cannot emphasize enough the importance of a good teacher.,https://www.brainyquote.com/quotes/temple_grandin_283469?src=t_teacher,Temple Grandin,https://www.brainyquote.com/authors/temple-grandin-quotes
Those who know how to think need no teachers.,https://www.brainyquote.com/quotes/mahatma_gandhi_150729?src=t_teacher,Mahatma Gandhi,https://www.brainyquote.com/authors/mahatma-gandhi-quotes
"The five steps in teaching an employee new skills are preparation, explanation, showing, observation and supervision.",https://www.brainyquote.com/quotes/bruce_barton_162852?src=t_teacher,Bruce Barton,https://www.brainyquote.com/authors/bruce-barton-quotes
A teacher who is attempting to teach without inspiring the pupil with a desire to learn is hammering on cold iron.,https://www.brainyquote.com/quotes/horace_mann_108031?src=t_teacher,Horace Mann,https://www.brainyquote.com/authors/horace-mann-quotes
"None of us got where we are solely by pulling ourselves up by our bootstraps. We got here because somebody - a parent, a teacher, an Ivy League crony or a few nuns - bent down and helped us pick up our boots.",https://www.brainyquote.com/quotes/thurgood_marshall_388520?src=t_teacher,Thurgood Marshall,https://www.brainyquote.com/authors/thurgood-marshall-quotes
To this end the greatest asset of a school is the personality of the teacher.,https://www.brainyquote.com/quotes/john_strachan_231879?src=t_teacher,John Strachan,https://www.brainyquote.com/authors/john-strachan-quotes
"Teach love, generosity, good manners and some of that will drift from the classroom to the home and who knows, the children will be educating the parents.",https://www.brainyquote.com/quotes/roger_moore_259073?src=t_teacher,Roger Moore,https://www.brainyquote.com/authors/roger-moore-quotes
We spend the first twelve months of our children's lives teaching them to walk and talk and the next twelve telling them to sit down and shut up.,https://www.brainyquote.com/quotes/phyllis_diller_125353?src=t_teacher,Phyllis Diller,https://www.brainyquote.com/authors/phyllis-diller-quotes
"It is by teaching that we teach ourselves, by relating that we observe, by affirming that we examine, by showing that we look, by writing that we think, by pumping that we draw water into the well.",https://www.brainyquote.com/quotes/henri_frederic_amiel_148211?src=t_teacher,Henri Frederic Amiel,https://www.brainyquote.com/authors/henri-frederic-amiel-quotes
"A teacher should have maximal authority, and minimal power.",https://www.brainyquote.com/quotes/thomas_szasz_108035?src=t_teacher,Thomas Szasz,https://www.brainyquote.com/authors/thomas-szasz-quotes
The world of knowledge takes a crazy turn when teachers themselves are taught to learn.,https://www.brainyquote.com/quotes/bertolt_brecht_149472?src=t_teacher,Bertolt Brecht,https://www.brainyquote.com/authors/bertolt-brecht-quotes
"In a completely rational society, the best of us would be teachers and the rest of us would have to settle for something else.",https://www.brainyquote.com/quotes/lee_iacocca_125857?src=t_teacher,Lee Iacocca,https://www.brainyquote.com/authors/lee-iacocca-quotes
"There are two kinds of teachers: the kind that fill you with so much quail shot that you can't move, and the kind that just gives you a little prod behind and you jump to the skies.",https://www.brainyquote.com/quotes/robert_frost_393500?src=t_teacher,Robert Frost,https://www.brainyquote.com/authors/robert-frost-quotes
Most of us end up with no more than five or six people who remember us. Teachers have thousands of people who remember them for the rest of their lives.,https://www.brainyquote.com/quotes/andy_rooney_194052?src=t_teacher,Andy Rooney,https://www.brainyquote.com/authors/andy-rooney-quotes
"If you have to put someone on a pedestal, put teachers. They are society's heroes.",https://www.brainyquote.com/quotes/guy_kawasaki_458310?src=t_teacher,Guy Kawasaki,https://www.brainyquote.com/authors/guy-kawasaki-quotes
Those who have no record of what their forebears have accomplished lose the inspiration which comes from the teaching of biography and history.,https://www.brainyquote.com/quotes/carter_g_woodson_230678?src=t_teacher,Carter G. Woodson,https://www.brainyquote.com/authors/carter-g-woodson-quotes
"Study how water flows in a valley stream, smoothly and freely between the rocks. Also learn from holy books and wise people. Everything - even mountains, rivers, plants and trees - should be your teacher.",https://www.brainyquote.com/quotes/morihei_ueshiba_183881?src=t_teacher,Morihei Ueshiba,https://www.brainyquote.com/authors/morihei-ueshiba-quotes
"My heart is singing for joy this morning! A miracle has happened! The light of understanding has shone upon my little pupil's mind, and behold, all things are changed!",https://www.brainyquote.com/quotes/anne_sullivan_133239?src=t_teacher,Anne Sullivan,https://www.brainyquote.com/authors/anne-sullivan-quotes
Every child should have a caring adult in their lives. And that's not always a biological parent or family member. It may be a friend or neighbor. Often times it is a teacher.,https://www.brainyquote.com/quotes/joe_manchin_168545?src=t_teacher,Joe Manchin,https://www.brainyquote.com/authors/joe-manchin-quotes
A professor is someone who talks in someone else's sleep.,https://www.brainyquote.com/quotes/w_h_auden_108697?src=t_teacher,W. H. Auden,https://www.brainyquote.com/authors/w-h-auden-quotes
"The best teacher is the one who suggests rather than dogmatizes, and inspires his listener with the wish to teach himself.",https://www.brainyquote.com/quotes/edward_g_bulwerlytton_108023?src=t_teacher,Edward G. Bulwer-Lytton,https://www.brainyquote.com/authors/edward-g-bulwer-lytton-quotes
What we become depends on what we read after all of the professors have finished with us. The greatest university of all is a collection of books.,https://www.brainyquote.com/quotes/thomas_carlyle_145972?src=t_teacher,Thomas Carlyle,https://www.brainyquote.com/authors/thomas-carlyle-quotes
Everybody who is incapable of learning has taken to teaching.,https://www.brainyquote.com/quotes/oscar_wilde_382938?src=t_teacher,Oscar Wilde,https://www.brainyquote.com/authors/oscar-wilde-quotes
"When I was in junior high school, the teachers voted me the student most likely to end up in the electric chair.",https://www.brainyquote.com/quotes/sylvester_stallone_368144?src=t_teacher,Sylvester Stallone,https://www.brainyquote.com/authors/sylvester-stallone-quotes
What a blind person needs is not a teacher but another self.,https://www.brainyquote.com/quotes/helen_keller_152192?src=t_teacher,Helen Keller,https://www.brainyquote.com/authors/helen-keller-quotes
Everybody's a teacher if you listen.,https://www.brainyquote.com/quotes/doris_roberts_301746?src=t_teacher,Doris Roberts,https://www.brainyquote.com/authors/doris-roberts-quotes
The true teacher defends his pupils against his own personal influence. He inspires self-trust. He guides their eyes from himself to the spirit that quickens him. He will have no disciples.,https://www.brainyquote.com/quotes/amos_bronson_alcott_161898?src=t_teacher,Amos Bronson Alcott,https://www.brainyquote.com/authors/amos-bronson-alcott-quotes
I think the teaching profession contributes more to the future of our society than any other single profession.,https://www.brainyquote.com/quotes/john_wooden_447009?src=t_teacher,John Wooden,https://www.brainyquote.com/authors/john-wooden-quotes
"The doctrine of the Kingdom of Heaven, which was the main teaching of Jesus, is certainly one of the most revolutionary doctrines that ever stirred and changed human thought.",https://www.brainyquote.com/quotes/h_g_wells_147218?src=t_teacher,H. G. Wells,https://www.brainyquote.com/authors/h-g-wells-quotes
Excellence is a better teacher than mediocrity. The lessons of the ordinary are everywhere. Truly profound and original insights are to be found only in studying the exemplary.,https://www.brainyquote.com/quotes/warren_bennis_121312?src=t_teacher,Warren Bennis,https://www.brainyquote.com/authors/warren-bennis-quotes
Take away paradox from the thinker and you have a professor.,https://www.brainyquote.com/quotes/soren_kierkegaard_101846?src=t_teacher,Soren Kierkegaard,https://www.brainyquote.com/authors/soren-kierkegaard-quotes
