quote,quote_url,author,author_url
Any sufficiently advanced technology is indistinguishable from magic.,https://www.brainyquote.com/quotes/arthur_c_clarke_101182?src=t_technology,Arthur C. Clarke,https://www.brainyquote.com/authors/arthur-c-clarke-quotes
The first rule of any technology used in a business is that automation applied to an efficient operation will magnify the efficiency. The second is that automation applied to an inefficient operation will magnify the inefficiency.,https://www.brainyquote.com/quotes/bill_gates_104353?src=t_technology,Bill Gates,https://www.brainyquote.com/authors/bill-gates-quotes
One machine can do the work of fifty ordinary men. No machine can do the work of one extraordinary man.,https://www.brainyquote.com/quotes/elbert_hubbard_108045?src=t_technology,Elbert Hubbard,https://www.brainyquote.com/authors/elbert-hubbard-quotes
People who are really serious about software should make their own hardware.,https://www.brainyquote.com/quotes/alan_kay_375550?src=t_technology,Alan Kay,https://www.brainyquote.com/authors/alan-kay-quotes
"The Internet is so big, so powerful and pointless that for some people it is a complete substitute for life.",https://www.brainyquote.com/quotes/andrew_brown_104628?src=t_technology,Andrew Brown,https://www.brainyquote.com/authors/andrew-brown-quotes
"The number one benefit of information technology is that it empowers people to do what they want to do. It lets people be creative. It lets people be productive. It lets people learn things they didn't think they could learn before, and so in a sense it is all about potential.",https://www.brainyquote.com/quotes/steve_ballmer_173469?src=t_technology,Steve Ballmer,https://www.brainyquote.com/authors/steve-ballmer-quotes
Getting information off the Internet is like taking a drink from a fire hydrant.,https://www.brainyquote.com/quotes/mitch_kapor_163583?src=t_technology,Mitch Kapor,https://www.brainyquote.com/authors/mitch-kapor-quotes
"Bitcoin is a swarm of cyber hornets serving the goddess of wisdom, feeding on the fire of truth, exponentially growing ever smarter, faster, and stronger behind a wall of encrypted energy.",https://www.brainyquote.com/quotes/michael_j_saylor_1148045?src=t_technology,Michael J. Saylor,https://www.brainyquote.com/authors/michael-j-saylor-quotes
It has become appallingly obvious that our technology has exceeded our humanity.,https://www.brainyquote.com/quotes/unknown_161262?src=t_technology,Unknown,https://www.brainyquote.com/authors/unknown-quotes
Humanity is acquiring all the right technology for all the wrong reasons.,https://www.brainyquote.com/quotes/r_buckminster_fuller_100117?src=t_technology,R. Buckminster Fuller,https://www.brainyquote.com/authors/r-buckminster-fuller-quotes
The internet is a great way to get on the net.,https://www.brainyquote.com/quotes/bob_dole_102270?src=t_technology,Bob Dole,https://www.brainyquote.com/authors/bob-dole-quotes
It is only when they go wrong that machines remind you how powerful they are.,https://www.brainyquote.com/quotes/clive_james_125465?src=t_technology,Clive James,https://www.brainyquote.com/authors/clive-james-quotes
Adding sound to movies would be like putting lipstick on the Venus de Milo.,https://www.brainyquote.com/quotes/mary_pickford_109823?src=t_technology,Mary Pickford,https://www.brainyquote.com/authors/mary-pickford-quotes
"For a successful technology, reality must take precedence over public relations, for Nature cannot be fooled.",https://www.brainyquote.com/quotes/richard_p_feynman_104988?src=t_technology,Richard P. Feynman,https://www.brainyquote.com/authors/richard-p-feynman-quotes
Technological progress has merely provided us with more efficient means for going backwards.,https://www.brainyquote.com/quotes/aldous_huxley_101185?src=t_technology,Aldous Huxley,https://www.brainyquote.com/authors/aldous-huxley-quotes
"Success in creating AI would be the biggest event in human history. Unfortunately, it might also be the last, unless we learn how to avoid the risks.",https://www.brainyquote.com/quotes/stephen_hawking_627109?src=t_technology,Stephen Hawking,https://www.brainyquote.com/authors/stephen-hawking-quotes
"If we continue to develop our technology without wisdom or prudence, our servant may prove to be our executioner.",https://www.brainyquote.com/quotes/omar_n_bradley_131387?src=t_technology,Omar N. Bradley,https://www.brainyquote.com/authors/omar-n-bradley-quotes
"Technology is a gift of God. After the gift of life it is perhaps the greatest of God's gifts. It is the mother of civilizations, of arts and of sciences.",https://www.brainyquote.com/quotes/freeman_dyson_126006?src=t_technology,Freeman Dyson,https://www.brainyquote.com/authors/freeman-dyson-quotes
Everybody gets so much information all day long that they lose their common sense.,https://www.brainyquote.com/quotes/gertrude_stein_107878?src=t_technology,Gertrude Stein,https://www.brainyquote.com/authors/gertrude-stein-quotes
The real problem is not whether machines think but whether men do.,https://www.brainyquote.com/quotes/b_f_skinner_100029?src=t_technology,B. F. Skinner,https://www.brainyquote.com/authors/b-f-skinner-quotes
We're still in the first minutes of the first day of the Internet revolution.,https://www.brainyquote.com/quotes/scott_cook_184204?src=t_technology,Scott Cook,https://www.brainyquote.com/authors/scott-cook-quotes
"Globalization, as defined by rich people like us, is a very nice thing... you are talking about the Internet, you are talking about cell phones, you are talking about computers. This doesn't affect two-thirds of the people of the world.",https://www.brainyquote.com/quotes/jimmy_carter_130501?src=t_technology,Jimmy Carter,https://www.brainyquote.com/authors/jimmy-carter-quotes
Civilization advances by extending the number of important operations which we can perform without thinking of them.,https://www.brainyquote.com/quotes/alfred_north_whitehead_108058?src=t_technology,Alfred North Whitehead,https://www.brainyquote.com/authors/alfred-north-whitehead-quotes
"Technology... is a queer thing. It brings you great gifts with one hand, and it stabs you in the back with the other.",https://www.brainyquote.com/quotes/carrie_snow_108049?src=t_technology,Carrie Snow,https://www.brainyquote.com/authors/carrie-snow-quotes
What new technology does is create new opportunities to do a job that customers want done.,https://www.brainyquote.com/quotes/tim_oreilly_219558?src=t_technology,Tim O'Reilly,https://www.brainyquote.com/authors/tim-oreilly-quotes
"Technology gives us power, but it does not and cannot tell us how to use that power. Thanks to technology, we can instantly communicate across the world, but it still doesn't help us know what to say.",https://www.brainyquote.com/quotes/jonathan_sacks_485197?src=t_technology,Jonathan Sacks,https://www.brainyquote.com/authors/jonathan-sacks-quotes
"The Web as I envisaged it, we have not seen it yet. The future is still so much bigger than the past.",https://www.brainyquote.com/quotes/tim_bernerslee_409503?src=t_technology,Tim Berners-Lee,https://www.brainyquote.com/authors/tim-berners-lee-quotes
"Technology is supposed to make our lives easier, allowing us to do things more quickly and efficiently. But too often it seems to make things harder, leaving us with fifty-button remote controls, digital cameras with hundreds of mysterious features and book-length manuals, and cars with dashboard systems worthy of the space shuttle.",https://www.brainyquote.com/quotes/james_surowiecki_525714?src=t_technology,James Surowiecki,https://www.brainyquote.com/authors/james-surowiecki-quotes
The march of science and technology does not imply growing intellectual complexity in the lives of most people. It often means the opposite.,https://www.brainyquote.com/quotes/thomas_sowell_371256?src=t_technology,Thomas Sowell,https://www.brainyquote.com/authors/thomas-sowell-quotes
"An asteroid or a supervolcano could certainly destroy us, but we also face risks the dinosaurs never saw: An engineered virus, nuclear war, inadvertent creation of a micro black hole, or some as-yet-unknown technology could spell the end of us.",https://www.brainyquote.com/quotes/elon_musk_567310?src=t_technology,Elon Musk,https://www.brainyquote.com/authors/elon-musk-quotes
Technology is so much fun but we can drown in our technology. The fog of information can drive out knowledge.,https://www.brainyquote.com/quotes/daniel_j_boorstin_110682?src=t_technology,Daniel J. Boorstin,https://www.brainyquote.com/authors/daniel-j-boorstin-quotes
Men have become the tools of their tools.,https://www.brainyquote.com/quotes/henry_david_thoreau_108059?src=t_technology,Henry David Thoreau,https://www.brainyquote.com/authors/henry-david-thoreau-quotes
"Our technological powers increase, but the side effects and potential hazards also escalate.",https://www.brainyquote.com/quotes/alvin_toffler_386113?src=t_technology,Alvin Toffler,https://www.brainyquote.com/authors/alvin-toffler-quotes
"The world is very different now. For man holds in his mortal hands the power to abolish all forms of human poverty, and all forms of human life.",https://www.brainyquote.com/quotes/john_f_kennedy_101186?src=t_technology,John F. Kennedy,https://www.brainyquote.com/authors/john-f-kennedy-quotes
The Internet is the most important single development in the history of human communication since the invention of call waiting.,https://www.brainyquote.com/quotes/dave_barry_102154?src=t_technology,Dave Barry,https://www.brainyquote.com/authors/dave-barry-quotes
"The Linux philosophy is 'Laugh in the face of danger'. Oops. Wrong One. 'Do it yourself'. Yes, that's it.",https://www.brainyquote.com/quotes/linus_torvalds_163637?src=t_technology,Linus Torvalds,https://www.brainyquote.com/authors/linus-torvalds-quotes
