quote,quote_url,author,author_url
"If the only prayer you ever say in your entire life is thank you, it will be enough.",https://www.brainyquote.com/quotes/meister_eckhart_149158?src=t_thankful,Meister Eckhart,https://www.brainyquote.com/authors/meister-eckhart-quotes
"Gratitude makes sense of our past, brings peace for today, and creates a vision for tomorrow.",https://www.brainyquote.com/quotes/melody_beattie_134462?src=t_thankful,Melody Beattie,https://www.brainyquote.com/authors/melody-beattie-quotes
"Gratitude is not only the greatest of virtues, but the parent of all the others.",https://www.brainyquote.com/quotes/marcus_tullius_cicero_122152?src=t_thankful,Marcus Tullius Cicero,https://www.brainyquote.com/authors/marcus-tullius-cicero-quotes
Feeling gratitude and not expressing it is like wrapping a present and not giving it.,https://www.brainyquote.com/quotes/william_arthur_ward_105516?src=t_thankful,William Arthur Ward,https://www.brainyquote.com/authors/william-arthur-ward-quotes
"It's been quite a roller coaster ride, but I've grown and learned a lot about myself. The greatest thing is being able to interact with fans and touch people's lives... for that I give thanks.",https://www.brainyquote.com/quotes/christina_aguilera_128051?src=t_thankful,Christina Aguilera,https://www.brainyquote.com/authors/christina-aguilera-quotes
"When you rise in the morning, give thanks for the light, for your life, for your strength. Give thanks for your food and for the joy of living. If you see no reason to give thanks, the fault lies in yourself.",https://www.brainyquote.com/quotes/tecumseh_190018?src=t_thankful,Tecumseh,https://www.brainyquote.com/authors/tecumseh-quotes
"When I started counting my blessings, my whole life turned around.",https://www.brainyquote.com/quotes/willie_nelson_381960?src=t_thankful,Willie Nelson,https://www.brainyquote.com/authors/willie-nelson-quotes
"Thank you for life, and all the little ups and downs that make it worth living.",https://www.brainyquote.com/quotes/travis_barker_468582?src=t_thankful,Travis Barker,https://www.brainyquote.com/authors/travis-barker-quotes
No one who achieves success does so without acknowledging the help of others. The wise and confident acknowledge this help with gratitude.,https://www.brainyquote.com/quotes/alfred_north_whitehead_119000?src=t_thankful,Alfred North Whitehead,https://www.brainyquote.com/authors/alfred-north-whitehead-quotes
Joy is the simplest form of gratitude.,https://www.brainyquote.com/quotes/karl_barth_380251?src=t_thankful,Karl Barth,https://www.brainyquote.com/authors/karl-barth-quotes
"'Thank you' is the best prayer that anyone could say. I say that one a lot. Thank you expresses extreme gratitude, humility, understanding.",https://www.brainyquote.com/quotes/alice_walker_446395?src=t_thankful,Alice Walker,https://www.brainyquote.com/authors/alice-walker-quotes
"I'd like to say to all my fans out there, thanks for the support. And to all my doubters, thank you very much because you guys have also pushed me.",https://www.brainyquote.com/quotes/usain_bolt_447682?src=t_thankful,Usain Bolt,https://www.brainyquote.com/authors/usain-bolt-quotes
