quote,quote_url,author,author_url
"We shall not cease from exploration, and the end of all our exploring will be to arrive where we started and know the place for the first time.",https://www.brainyquote.com/quotes/t_s_eliot_109032?src=t_travel,T. S. Eliot,https://www.brainyquote.com/authors/t-s-eliot-quotes
"The world is a book, and those who do not travel read only a page.",https://www.brainyquote.com/quotes/saint_augustine_108132?src=t_travel,Saint Augustine,https://www.brainyquote.com/authors/saint-augustine-quotes
"Wherever you go, go with all your heart.",https://www.brainyquote.com/quotes/confucius_161594?src=t_travel,Confucius,https://www.brainyquote.com/authors/confucius-quotes
"The real voyage of discovery consists not in seeking new landscapes, but in having new eyes.",https://www.brainyquote.com/quotes/marcel_proust_107111?src=t_travel,Marcel Proust,https://www.brainyquote.com/authors/marcel-proust-quotes
A man travels the world over in search of what he needs and returns home to find it.,https://www.brainyquote.com/quotes/george_a_moore_205186?src=t_travel,George A. Moore,https://www.brainyquote.com/authors/george-a-moore-quotes
"Though we travel the world over to find the beautiful, we must carry it with us or we find it not.",https://www.brainyquote.com/quotes/ralph_waldo_emerson_101299?src=t_travel,Ralph Waldo Emerson,https://www.brainyquote.com/authors/ralph-waldo-emerson-quotes
It is better to travel well than to arrive.,https://www.brainyquote.com/quotes/buddha_161435?src=t_travel,Buddha,https://www.brainyquote.com/authors/buddha-quotes
"A good traveler has no fixed plans, and is not intent on arriving.",https://www.brainyquote.com/quotes/lao_tzu_108135?src=t_travel,Lao Tzu,https://www.brainyquote.com/authors/lao-tzu-quotes
Venice is like eating an entire box of chocolate liqueurs in one go.,https://www.brainyquote.com/quotes/truman_capote_111090?src=t_travel,Truman Capote,https://www.brainyquote.com/authors/truman-capote-quotes
"We travel, some of us forever, to seek other states, other lives, other souls.",https://www.brainyquote.com/quotes/anais_nin_166998?src=t_travel,Anais Nin,https://www.brainyquote.com/authors/anais-nin-quotes
"The traveler sees what he sees, the tourist sees what he has come to see.",https://www.brainyquote.com/quotes/gilbert_k_chesterton_100091?src=t_travel,Gilbert K. Chesterton,https://www.brainyquote.com/authors/gilbert-k-chesterton-quotes
"If you wish to travel far and fast, travel light. Take off all your envies, jealousies, unforgiveness, selfishness and fears.",https://www.brainyquote.com/quotes/cesare_pavese_119196?src=t_travel,Cesare Pavese,https://www.brainyquote.com/authors/cesare-pavese-quotes
Never go on trips with anyone you do not love.,https://www.brainyquote.com/quotes/ernest_hemingway_109144?src=t_travel,Ernest Hemingway,https://www.brainyquote.com/authors/ernest-hemingway-quotes
"I travel not to go anywhere, but to go. I travel for travel's sake. The great affair is to move.",https://www.brainyquote.com/quotes/robert_louis_stevenson_108133?src=t_travel,Robert Louis Stevenson,https://www.brainyquote.com/authors/robert-louis-stevenson-quotes
To travel is to discover that everyone is wrong about other countries.,https://www.brainyquote.com/quotes/aldous_huxley_108145?src=t_travel,Aldous Huxley,https://www.brainyquote.com/authors/aldous-huxley-quotes
"Every day is a journey, and the journey itself is home.",https://www.brainyquote.com/quotes/matsuo_basho_382096?src=t_travel,Matsuo Basho,https://www.brainyquote.com/authors/matsuo-basho-quotes
"Like all great travellers, I have seen more than I remember, and remember more than I have seen.",https://www.brainyquote.com/quotes/benjamin_disraeli_108147?src=t_travel,Benjamin Disraeli,https://www.brainyquote.com/authors/benjamin-disraeli-quotes
Exploration is really the essence of the human spirit.,https://www.brainyquote.com/quotes/frank_borman_162112?src=t_travel,Frank Borman,https://www.brainyquote.com/authors/frank-borman-quotes
"No one realizes how beautiful it is to travel until he comes home and rests his head on his old, familiar pillow.",https://www.brainyquote.com/quotes/lin_yutang_139290?src=t_travel,Lin Yutang,https://www.brainyquote.com/authors/lin-yutang-quotes
To travel is to take a journey into yourself.,https://www.brainyquote.com/quotes/danny_kaye_314791?src=t_travel,Danny Kaye,https://www.brainyquote.com/authors/danny-kaye-quotes
"If all difficulties were known at the outset of a long journey, most of us would never start out at all.",https://www.brainyquote.com/quotes/dan_rather_387080?src=t_travel,Dan Rather,https://www.brainyquote.com/authors/dan-rather-quotes
"Own only what you can always carry with you: know languages, know countries, know people. Let your memory be your travel bag.",https://www.brainyquote.com/quotes/aleksandr_solzhenitsyn_405740?src=t_travel,Aleksandr Solzhenitsyn,https://www.brainyquote.com/authors/aleksandr-solzhenitsyn-quotes
