quote,quote_url,author,author_url
The trust of the innocent is the liar's most useful tool.,https://www.brainyquote.com/quotes/stephen_king_130777?src=t_trust,Stephen King,https://www.brainyquote.com/authors/stephen-king-quotes
"Love all, trust a few, do wrong to none.",https://www.brainyquote.com/quotes/william_shakespeare_106076?src=t_trust,William Shakespeare,https://www.brainyquote.com/authors/william-shakespeare-quotes
Never be afraid to trust an unknown future to a known God.,https://www.brainyquote.com/quotes/corrie_ten_boom_381184?src=t_trust,Corrie Ten Boom,https://www.brainyquote.com/authors/corrie-ten-boom-quotes
"I do not know what I may appear to the world, but to myself I seem to have been only like a boy playing on the seashore, and diverting myself in now and then finding a smoother pebble or a prettier shell than ordinary, whilst the great ocean of truth lay all undiscovered before me.",https://www.brainyquote.com/quotes/isaac_newton_387031?src=t_trust,Isaac Newton,https://www.brainyquote.com/authors/isaac-newton-quotes
To be trusted is a greater compliment than being loved.,https://www.brainyquote.com/quotes/george_macdonald_382362?src=t_trust,George MacDonald,https://www.brainyquote.com/authors/george-macdonald-quotes
Trust is hard to come by. That's why my circle is small and tight. I'm kind of funny about making new friends.,https://www.brainyquote.com/quotes/eminem_446850?src=t_trust,Eminem,https://www.brainyquote.com/authors/eminem-quotes
Whoever is careless with the truth in small matters cannot be trusted with important matters.,https://www.brainyquote.com/quotes/albert_einstein_125154?src=t_trust,Albert Einstein,https://www.brainyquote.com/authors/albert-einstein-quotes
"Trust yourself. Create the kind of self that you will be happy to live with all your life. Make the most of yourself by fanning the tiny, inner sparks of possibility into flames of achievement.",https://www.brainyquote.com/quotes/golda_meir_162893?src=t_trust,Golda Meir,https://www.brainyquote.com/authors/golda-meir-quotes
Trust is the glue of life. It's the most essential ingredient in effective communication. It's the foundational principle that holds all relationships.,https://www.brainyquote.com/quotes/stephen_covey_450798?src=t_trust,Stephen Covey,https://www.brainyquote.com/authors/stephen-covey-quotes
"For every good reason there is to lie, there is a better reason to tell the truth.",https://www.brainyquote.com/quotes/bo_bennett_167542?src=t_trust,Bo Bennett,https://www.brainyquote.com/authors/bo-bennett-quotes
"Trust, but verify.",https://www.brainyquote.com/quotes/ronald_reagan_147717?src=t_trust,Ronald Reagan,https://www.brainyquote.com/authors/ronald-reagan-quotes
"Trust yourself, you know more than you think you do.",https://www.brainyquote.com/quotes/benjamin_spock_100344?src=t_trust,Benjamin Spock,https://www.brainyquote.com/authors/benjamin-spock-quotes
"You may be deceived if you trust too much, but you will live in torment if you don't trust enough.",https://www.brainyquote.com/quotes/frank_crane_163038?src=t_trust,Frank Crane,https://www.brainyquote.com/authors/frank-crane-quotes
A lie can travel half way around the world while the truth is putting on its shoes.,https://www.brainyquote.com/quotes/charles_spurgeon_105835?src=t_trust,Charles Spurgeon,https://www.brainyquote.com/authors/charles-spurgeon-quotes
Trust is built with consistency.,https://www.brainyquote.com/quotes/lincoln_chafee_446309?src=t_trust,Lincoln Chafee,https://www.brainyquote.com/authors/lincoln-chafee-quotes
All I have seen teaches me to trust the creator for all I have not seen.,https://www.brainyquote.com/quotes/ralph_waldo_emerson_118592?src=t_trust,Ralph Waldo Emerson,https://www.brainyquote.com/authors/ralph-waldo-emerson-quotes
If the people cannot trust their government to do the job for which it exists - to protect them and to promote their common welfare - all else is lost.,https://www.brainyquote.com/quotes/barack_obama_409130?src=t_trust,Barack Obama,https://www.brainyquote.com/authors/barack-obama-quotes
The most important lesson that I have learned is to trust God in every circumstance. Lots of times we go through different trials and following God's plan seems like it doesn't make any sense at all. God is always in control and he will never leave us.,https://www.brainyquote.com/quotes/allyson_felix_425457?src=t_trust,Allyson Felix,https://www.brainyquote.com/authors/allyson-felix-quotes
"Never trust anyone who wants what you've got. Friend or no, envy is an overwhelming emotion.",https://www.brainyquote.com/quotes/eubie_blake_390764?src=t_trust,Eubie Blake,https://www.brainyquote.com/authors/eubie-blake-quotes
"Trust in what you love, continue to do it, and it will take you where you need to go.",https://www.brainyquote.com/quotes/natalie_goldberg_132736?src=t_trust,Natalie Goldberg,https://www.brainyquote.com/authors/natalie-goldberg-quotes
"As soon as you trust yourself, you will know how to live.",https://www.brainyquote.com/quotes/johann_wolfgang_von_goeth_133870?src=t_trust,Johann Wolfgang von Goethe,https://www.brainyquote.com/authors/johann-wolfgang-von-goeth-quotes
"He who does not trust enough, Will not be trusted.",https://www.brainyquote.com/quotes/lao_tzu_379183?src=t_trust,Lao Tzu,https://www.brainyquote.com/authors/lao-tzu-quotes
"Sometimes it is said that man cannot be trusted with the government of himself. Can he, then be trusted with the government of others? Or have we found angels in the form of kings to govern him? Let history answer this question.",https://www.brainyquote.com/quotes/thomas_jefferson_109179?src=t_trust,Thomas Jefferson,https://www.brainyquote.com/authors/thomas-jefferson-quotes
Trust dies but mistrust blossoms.,https://www.brainyquote.com/quotes/sophocles_388468?src=t_trust,Sophocles,https://www.brainyquote.com/authors/sophocles-quotes
"Although the life of a person is in a land full of thorns and weeds, there is always a space in which the good seed can grow. You have to trust God.",https://www.brainyquote.com/quotes/pope_francis_571233?src=t_trust,Pope Francis,https://www.brainyquote.com/authors/pope-francis-quotes
"Trust has to be earned, and should come only after the passage of time.",https://www.brainyquote.com/quotes/arthur_ashe_371538?src=t_trust,Arthur Ashe,https://www.brainyquote.com/authors/arthur-ashe-quotes
Trust is the first step to love.,https://www.brainyquote.com/quotes/munshi_premchand_184048?src=t_trust,Munshi Premchand,https://www.brainyquote.com/authors/munshi-premchand-quotes
"The more you trust your intuition, the more empowered you become, the stronger you become, and the happier you become.",https://www.brainyquote.com/quotes/gisele_bundchen_412233?src=t_trust,Gisele Bundchen,https://www.brainyquote.com/authors/gisele-bundchen-quotes
I cannot trust a man to control others who cannot control himself.,https://www.brainyquote.com/quotes/robert_e_lee_383501?src=t_trust,Robert E. Lee,https://www.brainyquote.com/authors/robert-e-lee-quotes
You must trust and believe in people or life becomes impossible.,https://www.brainyquote.com/quotes/anton_chekhov_383273?src=t_trust,Anton Chekhov,https://www.brainyquote.com/authors/anton-chekhov-quotes
"I think a good friend, to me, is all about trust and loyalty. You don't ever want to second-guess whether you can tell your friend something.",https://www.brainyquote.com/quotes/lauren_conrad_510107?src=t_trust,Lauren Conrad,https://www.brainyquote.com/authors/lauren-conrad-quotes
"It is better to suffer wrong than to do it, and happier to be sometimes cheated than not to trust.",https://www.brainyquote.com/quotes/samuel_johnson_135178?src=t_trust,Samuel Johnson,https://www.brainyquote.com/authors/samuel-johnson-quotes
"Few things can help an individual more than to place responsibility on him, and to let him know that you trust him.",https://www.brainyquote.com/quotes/booker_t_washington_101736?src=t_trust,Booker T. Washington,https://www.brainyquote.com/authors/booker-t-washington-quotes
A man who trusts nobody is apt to be the kind of man nobody trusts.,https://www.brainyquote.com/quotes/harold_macmillan_115620?src=t_trust,Harold MacMillan,https://www.brainyquote.com/authors/harold-macmillan-quotes
Learning to trust is one of life's most difficult tasks.,https://www.brainyquote.com/quotes/isaac_watts_382026?src=t_trust,Isaac Watts,https://www.brainyquote.com/authors/isaac-watts-quotes
"Seize the day, and put the least possible trust in tomorrow.",https://www.brainyquote.com/quotes/horace_382819?src=t_trust,Horace,https://www.brainyquote.com/authors/horace-quotes
Trusting our intuition often saves us from disaster.,https://www.brainyquote.com/quotes/anne_wilson_schaef_169939?src=t_trust,Anne Wilson Schaef,https://www.brainyquote.com/authors/anne-wilson-schaef-quotes
Not everyone can be trusted. I think we all have to be very selective about the people we trust.,https://www.brainyquote.com/quotes/shelley_long_192830?src=t_trust,Shelley Long,https://www.brainyquote.com/authors/shelley-long-quotes
