quote,quote_url,author,author_url
Love is our true destiny. We do not find the meaning of life by ourselves alone - we find it with another.,https://www.brainyquote.com/quotes/thomas_merton_387047?src=t_valentine's_day,Thomas Merton,https://www.brainyquote.com/authors/thomas-merton-quotes
"If you live to be a hundred, I want to live to be a hundred minus one day so I never have to live without you.",https://www.brainyquote.com/quotes/a_a_milne_163067?src=t_valentine's_day,A. A. Milne,https://www.brainyquote.com/authors/a-a-milne-quotes
"The minute I heard my first love story, I started looking for you, not knowing how blind that was. Lovers don't finally meet somewhere. They're in each other all along.",https://www.brainyquote.com/quotes/rumi_676253?src=t_valentine's_day,Rumi,https://www.brainyquote.com/authors/rumi-quotes
The heart has its reasons of which reason knows nothing.,https://www.brainyquote.com/quotes/blaise_pascal_132990?src=t_valentine's_day,Blaise Pascal,https://www.brainyquote.com/authors/blaise-pascal-quotes
All you need is love. But a little chocolate now and then doesn't hurt.,https://www.brainyquote.com/quotes/charles_m_schulz_189865?src=t_valentine's_day,Charles M. Schulz,https://www.brainyquote.com/authors/charles-m-schulz-quotes
Love will find a way through paths where wolves fear to prey.,https://www.brainyquote.com/quotes/lord_byron_382949?src=t_valentine's_day,Lord Byron,https://www.brainyquote.com/authors/lord-byron-quotes
"For it was not into my ear you whispered, but into my heart. It was not my lips you kissed, but my soul.",https://www.brainyquote.com/quotes/judy_garland_100718?src=t_valentine's_day,Judy Garland,https://www.brainyquote.com/authors/judy-garland-quotes
If you have only one smile in you give it to the people you love.,https://www.brainyquote.com/quotes/maya_angelou_134889?src=t_valentine's_day,Maya Angelou,https://www.brainyquote.com/authors/maya-angelou-quotes
"A heart is not judged by how much you love, but by how much you are loved by others.",https://www.brainyquote.com/quotes/frank_morgan_404900?src=t_valentine's_day,Frank Morgan,https://www.brainyquote.com/authors/frank-morgan-quotes
We are most alive when we're in love.,https://www.brainyquote.com/quotes/john_updike_380227?src=t_valentine's_day,John Updike,https://www.brainyquote.com/authors/john-updike-quotes
Soul meets soul on lovers' lips.,https://www.brainyquote.com/quotes/percy_bysshe_shelley_106316?src=t_valentine's_day,Percy Bysshe Shelley,https://www.brainyquote.com/authors/percy-bysshe-shelley-quotes
I'd rather have roses on my table than diamonds on my neck.,https://www.brainyquote.com/quotes/emma_goldman_105197?src=t_valentine's_day,Emma Goldman,https://www.brainyquote.com/authors/emma-goldman-quotes
They invented hugs to let people know you love them without saying anything.,https://www.brainyquote.com/quotes/bil_keane_173594?src=t_valentine's_day,Bil Keane,https://www.brainyquote.com/authors/bil-keane-quotes
"Doubt thou the stars are fire, Doubt that the sun doth move. Doubt truth to be a liar, But never doubt I love.",https://www.brainyquote.com/quotes/william_shakespeare_676251?src=t_valentine's_day,William Shakespeare,https://www.brainyquote.com/authors/william-shakespeare-quotes
"Now a soft kiss - Aye, by that kiss, I vow an endless bliss.",https://www.brainyquote.com/quotes/john_keats_165499?src=t_valentine's_day,John Keats,https://www.brainyquote.com/authors/john-keats-quotes
"The hours I spend with you I look upon as sort of a perfumed garden, a dim twilight, and a fountain singing to it. You and you alone make me feel that I am alive. Other men it is said have seen angels, but I have seen thee and thou art enough.",https://www.brainyquote.com/quotes/george_edward_moore_106521?src=t_valentine's_day,George Edward Moore,https://www.brainyquote.com/authors/george-edward-moore-quotes
"I'll love you, dear, I'll love you till China and Africa meet and the river jumps over the mountain and the salmon sing in the street.",https://www.brainyquote.com/quotes/w_h_auden_166446?src=t_valentine's_day,W. H. Auden,https://www.brainyquote.com/authors/w-h-auden-quotes
"Give me a kiss, and to that kiss a score; Then to that twenty, add a hundred more: A thousand to that hundred: so kiss on, To make that thousand up a million. Treble that million, and when that is done, Let's kiss afresh, as when we first begun.",https://www.brainyquote.com/quotes/robert_herrick_145893?src=t_valentine's_day,Robert Herrick,https://www.brainyquote.com/authors/robert-herrick-quotes
"Each time you love, love as deeply as if it were forever.",https://www.brainyquote.com/quotes/audre_lorde_357261?src=t_valentine's_day,Audre Lorde,https://www.brainyquote.com/authors/audre-lorde-quotes
"There's a long life ahead of you and it's going to be beautiful, as long as you keep loving and hugging each other.",https://www.brainyquote.com/quotes/yoko_ono_584441?src=t_valentine's_day,Yoko Ono,https://www.brainyquote.com/authors/yoko-ono-quotes
"I know of only one duty, and that is to love.",https://www.brainyquote.com/quotes/albert_camus_378161?src=t_valentine's_day,Albert Camus,https://www.brainyquote.com/authors/albert-camus-quotes
In love there are two things - bodies and words.,https://www.brainyquote.com/quotes/joyce_carol_oates_159308?src=t_valentine's_day,Joyce Carol Oates,https://www.brainyquote.com/authors/joyce-carol-oates-quotes
"How did it happen that their lips came together? How does it happen that birds sing, that snow melts, that the rose unfolds, that the dawn whitens behind the stark shapes of trees on the quivering summit of the hill? A kiss, and all was said.",https://www.brainyquote.com/quotes/victor_hugo_106315?src=t_valentine's_day,Victor Hugo,https://www.brainyquote.com/authors/victor-hugo-quotes
