quote,quote_url,author,author_url
It is foolish and wrong to mourn the men who died. Rather we should thank God that such men lived.,https://www.brainyquote.com/quotes/george_s_patton_124797?src=t_veterans_day,George S. Patton,https://www.brainyquote.com/authors/george-s-patton-quotes
"True heroism is remarkably sober, very undramatic. It is not the urge to surpass all others at whatever cost, but the urge to serve others at whatever cost.",https://www.brainyquote.com/quotes/arthur_ashe_124531?src=t_veterans_day,Arthur Ashe,https://www.brainyquote.com/authors/arthur-ashe-quotes
"There is a certain enthusiasm in liberty, that makes human nature rise above itself, in acts of bravery and heroism.",https://www.brainyquote.com/quotes/alexander_hamilton_391019?src=t_veterans_day,Alexander Hamilton,https://www.brainyquote.com/authors/alexander-hamilton-quotes
"The soldier above all others prays for peace, for it is the soldier who must suffer and bear the deepest wounds and scars of war.",https://www.brainyquote.com/quotes/douglas_macarthur_125212?src=t_veterans_day,Douglas MacArthur,https://www.brainyquote.com/authors/douglas-macarthur-quotes
"Regard your soldiers as your children, and they will follow you into the deepest valleys; look on them as your own beloved sons, and they will stand by you even unto death.",https://www.brainyquote.com/quotes/sun_tzu_402522?src=t_veterans_day,Sun Tzu,https://www.brainyquote.com/authors/sun-tzu-quotes
"Live as brave men; and if fortune is adverse, front its blows with brave hearts.",https://www.brainyquote.com/quotes/marcus_tullius_cicero_141133?src=t_veterans_day,Marcus Tullius Cicero,https://www.brainyquote.com/authors/marcus-tullius-cicero-quotes
The Lord gets his best soldiers out of the highlands of affliction.,https://www.brainyquote.com/quotes/charles_spurgeon_155632?src=t_veterans_day,Charles Spurgeon,https://www.brainyquote.com/authors/charles-spurgeon-quotes
"I offer neither pay, nor quarters, nor food; I offer only hunger, thirst, forced marches, battles and death. Let him who loves his country with his heart, and not merely with his lips, follow me.",https://www.brainyquote.com/quotes/giuseppe_garibaldi_205832?src=t_veterans_day,Giuseppe Garibaldi,https://www.brainyquote.com/authors/giuseppe-garibaldi-quotes
"Brave men rejoice in adversity, just as brave soldiers triumph in war.",https://www.brainyquote.com/quotes/lucius_annaeus_seneca_154986?src=t_veterans_day,Lucius Annaeus Seneca,https://www.brainyquote.com/authors/lucius-annaeus-seneca-quotes
"Every soldier must know, before he goes into battle, how the little battle he is to fight fits into the larger picture, and how the success of his fighting will influence the battle as a whole.",https://www.brainyquote.com/quotes/bernard_law_montgomery_143741?src=t_veterans_day,Bernard Law Montgomery,https://www.brainyquote.com/authors/bernard-law-montgomery-quotes
"When the will defies fear, when duty throws the gauntlet down to fate, when honor scorns to compromise with death - that is heroism.",https://www.brainyquote.com/quotes/robert_green_ingersoll_149233?src=t_veterans_day,Robert Green Ingersoll,https://www.brainyquote.com/authors/robert-green-ingersoll-quotes
The only thing that makes battle psychologically tolerable is the brotherhood among soldiers. You need each other to get by.,https://www.brainyquote.com/quotes/sebastian_junger_506554?src=t_veterans_day,Sebastian Junger,https://www.brainyquote.com/authors/sebastian-junger-quotes
"Soldiers, when committed to a task, can't compromise. It's unrelenting devotion to the standards of duty and courage, absolute loyalty to others, not letting the task go until it's been done.",https://www.brainyquote.com/quotes/john_keegan_280859?src=t_veterans_day,John Keegan,https://www.brainyquote.com/authors/john-keegan-quotes
"Gentlemen, when the enemy is committed to a mistake we must not interrupt him too soon.",https://www.brainyquote.com/quotes/horatio_nelson_167958?src=t_veterans_day,Horatio Nelson,https://www.brainyquote.com/authors/horatio-nelson-quotes
In war the heroes always outnumber the soldiers ten to one.,https://www.brainyquote.com/quotes/h_l_mencken_164723?src=t_veterans_day,H. L. Mencken,https://www.brainyquote.com/authors/h-l-mencken-quotes
I am not a hero but the brave men who died deserved this honor.,https://www.brainyquote.com/quotes/ira_hayes_202427?src=t_veterans_day,Ira Hayes,https://www.brainyquote.com/authors/ira-hayes-quotes
"When soldiers have been baptized in the fire of a battle-field, they have all one rank in my eyes.",https://www.brainyquote.com/quotes/napoleon_bonaparte_403343?src=t_veterans_day,Napoleon Bonaparte,https://www.brainyquote.com/authors/napoleon-bonaparte-quotes
The veterans of our military services have put their lives on the line to protect the freedoms that we enjoy. They have dedicated their lives to their country and deserve to be recognized for their commitment.,https://www.brainyquote.com/quotes/judd_gregg_168862?src=t_veterans_day,Judd Gregg,https://www.brainyquote.com/authors/judd-gregg-quotes
The reward of one duty is the power to fulfill another.,https://www.brainyquote.com/quotes/george_eliot_164000?src=t_veterans_day,George Eliot,https://www.brainyquote.com/authors/george-eliot-quotes
Never wear your best trousers when you go out to fight for freedom and truth.,https://www.brainyquote.com/quotes/henrik_ibsen_135341?src=t_veterans_day,Henrik Ibsen,https://www.brainyquote.com/authors/henrik-ibsen-quotes
Courage in danger is half the battle.,https://www.brainyquote.com/quotes/plautus_159666?src=t_veterans_day,Plautus,https://www.brainyquote.com/authors/plautus-quotes
"The thing is this: You got to have fun while you're fightin' for freedom, 'cause you don't always win.",https://www.brainyquote.com/quotes/molly_ivins_480531?src=t_veterans_day,Molly Ivins,https://www.brainyquote.com/authors/molly-ivins-quotes
