quote,quote_url,author,author_url
"Know thy self, know thy enemy. A thousand battles, a thousand victories.",https://www.brainyquote.com/quotes/sun_tzu_384112?src=t_war,Sun Tzu,https://www.brainyquote.com/authors/sun-tzu-quotes
"There is no hunting like the hunting of man, and those who have hunted armed men long enough and liked it, never care for anything else thereafter.",https://www.brainyquote.com/quotes/ernest_hemingway_395443?src=t_war,Ernest Hemingway,https://www.brainyquote.com/authors/ernest-hemingway-quotes
The two most powerful warriors are patience and time.,https://www.brainyquote.com/quotes/leo_tolstoy_121890?src=t_war,Leo Tolstoy,https://www.brainyquote.com/authors/leo-tolstoy-quotes
"The more you sweat in peace, the less you bleed in war.",https://www.brainyquote.com/quotes/norman_schwarzkopf_455013?src=t_war,Norman Schwarzkopf,https://www.brainyquote.com/authors/norman-schwarzkopf-quotes
"We shall defend our island, whatever the cost may be, we shall fight on the beaches, we shall fight on the landing grounds, we shall fight in the fields and in the streets, we shall fight in the hills; we shall never surrender.",https://www.brainyquote.com/quotes/winston_churchill_161337?src=t_war,Winston Churchill,https://www.brainyquote.com/authors/winston-churchill-quotes
The object of war is not to die for your country but to make the other bastard die for his.,https://www.brainyquote.com/quotes/george_s_patton_102496?src=t_war,George S. Patton,https://www.brainyquote.com/authors/george-s-patton-quotes
Older men declare war. But it is the youth that must fight and die.,https://www.brainyquote.com/quotes/herbert_hoover_108439?src=t_war,Herbert Hoover,https://www.brainyquote.com/authors/herbert-hoover-quotes
"I know not with what weapons World War III will be fought, but World War IV will be fought with sticks and stones.",https://www.brainyquote.com/quotes/albert_einstein_122873?src=t_war,Albert Einstein,https://www.brainyquote.com/authors/albert-einstein-quotes
War does not determine who is right - only who is left.,https://www.brainyquote.com/quotes/bertrand_russell_101224?src=t_war,Bertrand Russell,https://www.brainyquote.com/authors/bertrand-russell-quotes
"In peace, sons bury their fathers. In war, fathers bury their sons.",https://www.brainyquote.com/quotes/herodotus_169343?src=t_war,Herodotus,https://www.brainyquote.com/authors/herodotus-quotes
"It is well that war is so terrible, otherwise we should grow too fond of it.",https://www.brainyquote.com/quotes/robert_e_lee_125498?src=t_war,Robert E. Lee,https://www.brainyquote.com/authors/robert-e-lee-quotes
To be prepared for war is one of the most effective means of preserving peace.,https://www.brainyquote.com/quotes/george_washington_146832?src=t_war,George Washington,https://www.brainyquote.com/authors/george-washington-quotes
Only the dead have seen the end of the war.,https://www.brainyquote.com/quotes/george_santayana_133920?src=t_war,George Santayana,https://www.brainyquote.com/authors/george-santayana-quotes
"If we don't end war, war will end us.",https://www.brainyquote.com/quotes/h_g_wells_161934?src=t_war,H. G. Wells,https://www.brainyquote.com/authors/h-g-wells-quotes
"I am tired and sick of war. Its glory is all moonshine. It is only those who have neither fired a shot nor heard the shrieks and groans of the wounded who cry aloud for blood, for vengeance, for desolation. War is hell.",https://www.brainyquote.com/quotes/william_tecumseh_sherman_190604?src=t_war,William Tecumseh Sherman,https://www.brainyquote.com/authors/william-tecumseh-sherman-quotes
"You must not fight too often with one enemy, or you will teach him all your art of war.",https://www.brainyquote.com/quotes/napoleon_bonaparte_124809?src=t_war,Napoleon Bonaparte,https://www.brainyquote.com/authors/napoleon-bonaparte-quotes
"When the rich wage war, it's the poor who die.",https://www.brainyquote.com/quotes/jeanpaul_sartre_108422?src=t_war,Jean-Paul Sartre,https://www.brainyquote.com/authors/jean-paul-sartre-quotes
"I hate war as only a soldier who has lived it can, only as one who has seen its brutality, its futility, its stupidity.",https://www.brainyquote.com/quotes/dwight_d_eisenhower_136897?src=t_war,Dwight D. Eisenhower,https://www.brainyquote.com/authors/dwight-d-eisenhower-quotes
The military don't start wars. Politicians start wars.,https://www.brainyquote.com/quotes/william_westmoreland_161338?src=t_war,William Westmoreland,https://www.brainyquote.com/authors/william-westmoreland-quotes
"The cost of freedom is always high, but Americans have always paid it. And one path we shall never choose, and that is the path of surrender, or submission.",https://www.brainyquote.com/quotes/john_f_kennedy_122735?src=t_war,John F. Kennedy,https://www.brainyquote.com/authors/john-f-kennedy-quotes
You can no more win a war than you can win an earthquake.,https://www.brainyquote.com/quotes/jeannette_rankin_108408?src=t_war,Jeannette Rankin,https://www.brainyquote.com/authors/jeannette-rankin-quotes
There is no avoiding war; it can only be postponed to the advantage of others.,https://www.brainyquote.com/quotes/niccolo_machiavelli_110239?src=t_war,Niccolo Machiavelli,https://www.brainyquote.com/authors/niccolo-machiavelli-quotes
The great questions of the day will not be settled by means of speeches and majority decisions but by iron and blood.,https://www.brainyquote.com/quotes/otto_von_bismarck_149419?src=t_war,Otto von Bismarck,https://www.brainyquote.com/authors/otto-von-bismarck-quotes
I have never advocated war except as a means of peace.,https://www.brainyquote.com/quotes/ulysses_s_grant_108434?src=t_war,Ulysses S. Grant,https://www.brainyquote.com/authors/ulysses-s-grant-quotes
I must study politics and war that my sons may have liberty to study mathematics and philosophy.,https://www.brainyquote.com/quotes/john_adams_124936?src=t_war,John Adams,https://www.brainyquote.com/authors/john-adams-quotes
It is forbidden to kill; therefore all murderers are punished unless they kill in large numbers and to the sound of trumpets.,https://www.brainyquote.com/quotes/voltaire_108412?src=t_war,Voltaire,https://www.brainyquote.com/authors/voltaire-quotes
The best weapon against an enemy is another enemy.,https://www.brainyquote.com/quotes/friedrich_nietzsche_166143?src=t_war,Friedrich Nietzsche,https://www.brainyquote.com/authors/friedrich-nietzsche-quotes
"All wars are civil wars, because all men are brothers.",https://www.brainyquote.com/quotes/francois_fenelon_108441?src=t_war,Francois Fenelon,https://www.brainyquote.com/authors/francois-fenelon-quotes
War: a massacre of people who don't know each other for the profit of people who know each other but don't massacre each other.,https://www.brainyquote.com/quotes/paul_valery_390403?src=t_war,Paul Valery,https://www.brainyquote.com/authors/paul-valery-quotes
Ten soldiers wisely led will beat a hundred without a head.,https://www.brainyquote.com/quotes/euripides_143504?src=t_war,Euripides,https://www.brainyquote.com/authors/euripides-quotes
War makes thieves and peace hangs them.,https://www.brainyquote.com/quotes/george_herbert_106268?src=t_war,George Herbert,https://www.brainyquote.com/authors/george-herbert-quotes
"War is an ugly thing, but not the ugliest of things. The decayed and degraded state of moral and patriotic feeling which thinks that nothing is worth war is much worse.",https://www.brainyquote.com/quotes/john_stuart_mill_108447?src=t_war,John Stuart Mill,https://www.brainyquote.com/authors/john-stuart-mill-quotes
Sometime they'll give a war and nobody will come.,https://www.brainyquote.com/quotes/carl_sandburg_108409?src=t_war,Carl Sandburg,https://www.brainyquote.com/authors/carl-sandburg-quotes
You can't say civilization don't advance... in every war they kill you in a new way.,https://www.brainyquote.com/quotes/will_rogers_109468?src=t_war,Will Rogers,https://www.brainyquote.com/authors/will-rogers-quotes
"Yesterday, December seventh, 1941, a date which will live in infamy, the United States of America was suddenly and deliberately attacked by naval and air forces of the Empire of Japan. We will gain the inevitable triumph, so help us God.",https://www.brainyquote.com/quotes/franklin_d_roosevelt_101223?src=t_war,Franklin D. Roosevelt,https://www.brainyquote.com/authors/franklin-d-roosevelt-quotes
It is incumbent on every generation to pay its own debts as it goes. A principle which if acted on would save one-half the wars of the world.,https://www.brainyquote.com/quotes/thomas_jefferson_136389?src=t_war,Thomas Jefferson,https://www.brainyquote.com/authors/thomas-jefferson-quotes
"I will not play tug o' war. I'd rather play hug o' war. Where everyone hugs instead of tugs, Where everyone giggles and rolls on the rug, Where everyone kisses, and everyone grins, and everyone cuddles, and everyone wins.",https://www.brainyquote.com/quotes/shel_silverstein_204695?src=t_war,Shel Silverstein,https://www.brainyquote.com/authors/shel-silverstein-quotes
I'm fed up to the ears with old men dreaming up wars for young men to die in.,https://www.brainyquote.com/quotes/george_mcgovern_101220?src=t_war,George McGovern,https://www.brainyquote.com/authors/george-mcgovern-quotes
"If it's natural to kill, how come men have to go into training to learn how?",https://www.brainyquote.com/quotes/joan_baez_161931?src=t_war,Joan Baez,https://www.brainyquote.com/authors/joan-baez-quotes
"Ours is a world of nuclear giants and ethical infants. We know more about war that we know about peace, more about killing that we know about living.",https://www.brainyquote.com/quotes/omar_n_bradley_161930?src=t_war,Omar N. Bradley,https://www.brainyquote.com/authors/omar-n-bradley-quotes
"Conquered, we conquer.",https://www.brainyquote.com/quotes/plautus_117944?src=t_war,Plautus,https://www.brainyquote.com/authors/plautus-quotes
War is only a cowardly escape from the problems of peace.,https://www.brainyquote.com/quotes/thomas_mann_108429?src=t_war,Thomas Mann,https://www.brainyquote.com/authors/thomas-mann-quotes
A state of war only serves as an excuse for domestic tyranny.,https://www.brainyquote.com/quotes/aleksandr_solzhenitsyn_170019?src=t_war,Aleksandr Solzhenitsyn,https://www.brainyquote.com/authors/aleksandr-solzhenitsyn-quotes
War is the science of destruction.,https://www.brainyquote.com/quotes/john_abbott_130150?src=t_war,John Abbott,https://www.brainyquote.com/authors/john-abbott-quotes
