quote,quote_url,author,author_url
A woman is like a tea bag - you can't tell how strong she is until you put her in hot water.,https://www.brainyquote.com/quotes/eleanor_roosevelt_127143?src=t_women,Eleanor Roosevelt,https://www.brainyquote.com/authors/eleanor-roosevelt-quotes
I measure the progress of a community by the degree of progress which women have achieved.,https://www.brainyquote.com/quotes/b_r_ambedkar_390759?src=t_women,B. R. Ambedkar,https://www.brainyquote.com/authors/b-r-ambedkar-quotes
Think like a queen. A queen is not afraid to fail. Failure is another steppingstone to greatness.,https://www.brainyquote.com/quotes/oprah_winfrey_121366?src=t_women,Oprah Winfrey,https://www.brainyquote.com/authors/oprah-winfrey-quotes
"If you want something said, ask a man; if you want something done, ask a woman.",https://www.brainyquote.com/quotes/margaret_thatcher_127088?src=t_women,Margaret Thatcher,https://www.brainyquote.com/authors/margaret-thatcher-quotes
"Women, like men, should try to do the impossible. And when they fail, their failure should be a challenge to others.",https://www.brainyquote.com/quotes/amelia_earhart_390292?src=t_women,Amelia Earhart,https://www.brainyquote.com/authors/amelia-earhart-quotes
A girl should be two things: classy and fabulous.,https://www.brainyquote.com/quotes/coco_chanel_377809?src=t_women,Coco Chanel,https://www.brainyquote.com/authors/coco-chanel-quotes
"Women, can't live with them, can't live without them.",https://www.brainyquote.com/quotes/desiderius_erasmus_110331?src=t_women,Desiderius Erasmus,https://www.brainyquote.com/authors/desiderius-erasmus-quotes
Woman is the dominant sex. Men have to do all sorts of stuff to prove that they are worthy of woman's attention.,https://www.brainyquote.com/quotes/camille_paglia_159815?src=t_women,Camille Paglia,https://www.brainyquote.com/authors/camille-paglia-quotes
Women who seek to be equal with men lack ambition.,https://www.brainyquote.com/quotes/timothy_leary_100048?src=t_women,Timothy Leary,https://www.brainyquote.com/authors/timothy-leary-quotes
"Wives are young men's mistresses, companions for middle age, and old men's nurses.",https://www.brainyquote.com/quotes/francis_bacon_138950?src=t_women,Francis Bacon,https://www.brainyquote.com/authors/francis-bacon-quotes
Women hold up half the sky.,https://www.brainyquote.com/quotes/mao_zedong_380326?src=t_women,Mao Zedong,https://www.brainyquote.com/authors/mao-zedong-quotes
