quote,quote_url,author,author_url
"Whatever your life's work is, do it well. A man should do his job so well that the living, the dead, and the unborn could do it no better.",https://www.brainyquote.com/quotes/martin_luther_king_jr_297529?src=t_work,"Martin Luther King, Jr.",https://www.brainyquote.com/authors/martin-luther-king-jr-quotes
"I put my heart and my soul into my work, and have lost my mind in the process.",https://www.brainyquote.com/quotes/vincent_van_gogh_384763?src=t_work,Vincent Van Gogh,https://www.brainyquote.com/authors/vincent-van-gogh-quotes
The reward for work well done is the opportunity to do more.,https://www.brainyquote.com/quotes/jonas_salk_129207?src=t_work,Jonas Salk,https://www.brainyquote.com/authors/jonas-salk-quotes
Find a job you like and you add five days to every week.,https://www.brainyquote.com/quotes/h_jackson_brown_jr_100747?src=t_work,"H. Jackson Brown, Jr.",https://www.brainyquote.com/authors/h-jackson-brown-jr-quotes
Far and away the best prize that life has to offer is the chance to work hard at work worth doing.,https://www.brainyquote.com/quotes/theodore_roosevelt_109913?src=t_work,Theodore Roosevelt,https://www.brainyquote.com/authors/theodore-roosevelt-quotes
"Individual commitment to a group effort - that is what makes a team work, a company work, a society work, a civilization work.",https://www.brainyquote.com/quotes/vince_lombardi_129818?src=t_work,Vince Lombardi,https://www.brainyquote.com/authors/vince-lombardi-quotes
Let the beauty of what you love be what you do.,https://www.brainyquote.com/quotes/rumi_133529?src=t_work,Rumi,https://www.brainyquote.com/authors/rumi-quotes
"Let us realize that: the privilege to work is a gift, the power to work is a blessing, the love of work is success!",https://www.brainyquote.com/quotes/david_o_mckay_142152?src=t_work,David O. McKay,https://www.brainyquote.com/authors/david-o-mckay-quotes
All things are difficult before they are easy.,https://www.brainyquote.com/quotes/thomas_fuller_125402?src=t_work,Thomas Fuller,https://www.brainyquote.com/authors/thomas-fuller-quotes
"Be regular and orderly in your life, so that you may be violent and original in your work.",https://www.brainyquote.com/quotes/gustave_flaubert_109857?src=t_work,Gustave Flaubert,https://www.brainyquote.com/authors/gustave-flaubert-quotes
"Laziness may appear attractive, but work gives satisfaction.",https://www.brainyquote.com/quotes/anne_frank_110065?src=t_work,Anne Frank,https://www.brainyquote.com/authors/anne-frank-quotes
"The harder I work, the luckier I get.",https://www.brainyquote.com/quotes/samuel_goldwyn_122307?src=t_work,Samuel Goldwyn,https://www.brainyquote.com/authors/samuel-goldwyn-quotes
"All life demands struggle. Those who have everything given to them become lazy, selfish, and insensitive to the real values of life. The very striving and hard work that we so constantly try to avoid is the major building block in the person we are today.",https://www.brainyquote.com/quotes/pope_paul_vi_120381?src=t_work,Pope Paul VI,https://www.brainyquote.com/authors/pope-paul-vi-quotes
Nothing will work unless you do.,https://www.brainyquote.com/quotes/maya_angelou_120197?src=t_work,Maya Angelou,https://www.brainyquote.com/authors/maya-angelou-quotes
The pay is good and I can walk to work.,https://www.brainyquote.com/quotes/john_f_kennedy_114953?src=t_work,John F. Kennedy,https://www.brainyquote.com/authors/john-f-kennedy-quotes
Quality is everyone's responsibility.,https://www.brainyquote.com/quotes/w_edwards_deming_380787?src=t_work,W. Edwards Deming,https://www.brainyquote.com/authors/w-edwards-deming-quotes
"Hard work spotlights the character of people: some turn up their sleeves, some turn up their noses, and some don't turn up at all.",https://www.brainyquote.com/quotes/sam_ewing_104937?src=t_work,Sam Ewing,https://www.brainyquote.com/authors/sam-ewing-quotes
Work is the curse of the drinking classes.,https://www.brainyquote.com/quotes/oscar_wilde_128424?src=t_work,Oscar Wilde,https://www.brainyquote.com/authors/oscar-wilde-quotes
Working hard and working smart sometimes can be two different things.,https://www.brainyquote.com/quotes/byron_dorgan_167845?src=t_work,Byron Dorgan,https://www.brainyquote.com/authors/byron-dorgan-quotes
"When your work speaks for itself, don't interrupt.",https://www.brainyquote.com/quotes/henry_j_kaiser_100830?src=t_work,Henry J. Kaiser,https://www.brainyquote.com/authors/henry-j-kaiser-quotes
Work gives you meaning and purpose and life is empty without it.,https://www.brainyquote.com/quotes/stephen_hawking_447583?src=t_work,Stephen Hawking,https://www.brainyquote.com/authors/stephen-hawking-quotes
Without labor nothing prospers.,https://www.brainyquote.com/quotes/sophocles_118469?src=t_work,Sophocles,https://www.brainyquote.com/authors/sophocles-quotes
"The power of one, if fearless and focused, is formidable, but the power of many working together is better.",https://www.brainyquote.com/quotes/gloria_macapagal_arroyo_178593?src=t_work,Gloria Macapagal Arroyo,https://www.brainyquote.com/authors/gloria-macapagal-arroyo-quotes
The only thing that overcomes hard luck is hard work.,https://www.brainyquote.com/quotes/harry_golden_103791?src=t_work,Harry Golden,https://www.brainyquote.com/authors/harry-golden-quotes
The beginning is the most important part of the work.,https://www.brainyquote.com/quotes/plato_118809?src=t_work,Plato,https://www.brainyquote.com/authors/plato-quotes
Plans are only good intentions unless they immediately degenerate into hard work.,https://www.brainyquote.com/quotes/peter_drucker_131070?src=t_work,Peter Drucker,https://www.brainyquote.com/authors/peter-drucker-quotes
"Opportunities are usually disguised as hard work, so most people don't recognize them.",https://www.brainyquote.com/quotes/ann_landers_161326?src=t_work,Ann Landers,https://www.brainyquote.com/authors/ann-landers-quotes
By working faithfully eight hours a day you may eventually get to be boss and work twelve hours a day.,https://www.brainyquote.com/quotes/robert_frost_106225?src=t_work,Robert Frost,https://www.brainyquote.com/authors/robert-frost-quotes
"I've learned from experience that if you work harder at it, and apply more energy and time to it, and more consistency, you get a better result. It comes from the work.",https://www.brainyquote.com/quotes/louis_c_k_452787?src=t_work,Louis C. K.,https://www.brainyquote.com/authors/louis-c-k-quotes
"Nothing ever comes to one, that is worth having, except as a result of hard work.",https://www.brainyquote.com/quotes/booker_t_washington_131737?src=t_work,Booker T. Washington,https://www.brainyquote.com/authors/booker-t-washington-quotes
Honor lies in honest toil.,https://www.brainyquote.com/quotes/grover_cleveland_133076?src=t_work,Grover Cleveland,https://www.brainyquote.com/authors/grover-cleveland-quotes
It is the working man who is the happy man. It is the idle man who is the miserable man.,https://www.brainyquote.com/quotes/benjamin_franklin_151681?src=t_work,Benjamin Franklin,https://www.brainyquote.com/authors/benjamin-franklin-quotes
"Organizing is what you do before you do something, so that when you do it, it is not all mixed up.",https://www.brainyquote.com/quotes/a_a_milne_121656?src=t_work,A. A. Milne,https://www.brainyquote.com/authors/a-a-milne-quotes
"Don't stay in bed, unless you can make money in bed.",https://www.brainyquote.com/quotes/george_burns_103575?src=t_work,George Burns,https://www.brainyquote.com/authors/george-burns-quotes
All wealth is the product of labor.,https://www.brainyquote.com/quotes/john_locke_118856?src=t_work,John Locke,https://www.brainyquote.com/authors/john-locke-quotes
He who seeks rest finds boredom. He who seeks work finds rest.,https://www.brainyquote.com/quotes/dylan_thomas_119369?src=t_work,Dylan Thomas,https://www.brainyquote.com/authors/dylan-thomas-quotes
"A man's work is nothing but this slow trek to rediscover, through the detours of art, those two or three great and simple images in whose presence his heart first opened.",https://www.brainyquote.com/quotes/albert_camus_108242?src=t_work,Albert Camus,https://www.brainyquote.com/authors/albert-camus-quotes
"It's like Forrest Gump said, 'Life is like a box of chocolates.' Your career is like a box of chocolates - you never know what you're going to get. But everything you get is going to teach you something along the way and make you the person you are today. That's the exciting part - it's an adventure in itself.",https://www.brainyquote.com/quotes/nick_carter_433871?src=t_work,Nick Carter,https://www.brainyquote.com/authors/nick-carter-quotes
